[520, 336]
[paragraph, [20.0, 45.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 63.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 81.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 99.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 117.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 135.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 153.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 171.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 189.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 207.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 225.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 243.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 261.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 279.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 297.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 315.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 333.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 351.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [20.0, 369.0, 273.0, 18.0], shoonya_2s0OKVA9TJ8PQ5, 6532964]
[paragraph, [21.0, 397.0, 274.0, 18.0], shoonya_0s8YM3ZHTQPYKV, 6532964]
[paragraph, [21.0, 415.0, 274.0, 18.0], shoonya_0s8YM3ZHTQPYKV, 6532964]
