[595, 401]
[folio, [60.0, 54.0, 109.0, 18.0], fZM8so3bVf, 5711331]
[paragraph, [62.0, 82.0, 279.0, 18.0], shoonya_1sHF908OJR5LJ6, 5711331]
[paragraph, [62.0, 100.0, 279.0, 18.0], shoonya_1sHF908OJR5LJ6, 5711331]
[paragraph, [62.0, 118.0, 279.0, 18.0], shoonya_1sHF908OJR5LJ6, 5711331]
[paragraph, [62.0, 136.0, 279.0, 18.0], shoonya_1sHF908OJR5LJ6, 5711331]
[paragraph, [62.0, 154.0, 279.0, 18.0], shoonya_1sHF908OJR5LJ6, 5711331]
[paragraph, [62.0, 172.0, 279.0, 18.0], shoonya_1sHF908OJR5LJ6, 5711331]
[paragraph, [62.0, 190.0, 279.0, 18.0], shoonya_1sHF908OJR5LJ6, 5711331]
[paragraph, [62.0, 208.0, 279.0, 18.0], shoonya_1sHF908OJR5LJ6, 5711331]
[paragraph, [63.0, 226.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 244.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 262.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 280.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 298.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 316.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 334.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 352.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 370.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 388.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 406.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 424.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 442.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 460.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 478.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 496.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
[paragraph, [63.0, 514.0, 279.0, 18.0], shoonya_0sRN1CMKMRM82W, 5711331]
