[1220, 755]
[paragraph, [61.0, 56.0, 633.0, 18.0], shoonya_0sORKLYPSH2AT4, 6468778]
[paragraph, [61.0, 74.0, 633.0, 18.0], shoonya_0sORKLYPSH2AT4, 6468778]
[paragraph, [61.0, 92.0, 633.0, 18.0], shoonya_0sORKLYPSH2AT4, 6468778]
[paragraph, [61.0, 110.0, 633.0, 18.0], shoonya_0sORKLYPSH2AT4, 6468778]
[paragraph, [61.0, 128.0, 633.0, 18.0], shoonya_0sORKLYPSH2AT4, 6468778]
[paragraph, [61.0, 261.0, 635.0, 18.0], 9HP1lZNIXB, 6468778]
[paragraph, [61.0, 279.0, 635.0, 18.0], 9HP1lZNIXB, 6468778]
[paragraph, [61.0, 297.0, 635.0, 18.0], 9HP1lZNIXB, 6468778]
[paragraph, [61.0, 315.0, 635.0, 18.0], 9HP1lZNIXB, 6468778]
[paragraph, [61.0, 333.0, 635.0, 18.0], 9HP1lZNIXB, 6468778]
[paragraph, [61.0, 351.0, 635.0, 18.0], 9HP1lZNIXB, 6468778]
[paragraph, [59.0, 388.0, 634.0, 18.0], MeIh2XHM-2, 6468778]
[paragraph, [59.0, 406.0, 634.0, 18.0], MeIh2XHM-2, 6468778]
[paragraph, [59.0, 424.0, 634.0, 18.0], MeIh2XHM-2, 6468778]
[paragraph, [59.0, 442.0, 634.0, 18.0], MeIh2XHM-2, 6468778]
[paragraph, [59.0, 460.0, 634.0, 18.0], MeIh2XHM-2, 6468778]
[paragraph, [59.0, 478.0, 634.0, 18.0], MeIh2XHM-2, 6468778]
[paragraph, [59.0, 496.0, 634.0, 18.0], MeIh2XHM-2, 6468778]
[paragraph, [59.0, 514.0, 634.0, 18.0], MeIh2XHM-2, 6468778]
[paragraph, [60.0, 543.0, 633.0, 18.0], p41ZqKzjOZ, 6468778]
[paragraph, [60.0, 561.0, 633.0, 18.0], p41ZqKzjOZ, 6468778]
[paragraph, [60.0, 579.0, 633.0, 18.0], p41ZqKzjOZ, 6468778]
[paragraph, [60.0, 597.0, 633.0, 18.0], p41ZqKzjOZ, 6468778]
[paragraph, [60.0, 615.0, 633.0, 18.0], p41ZqKzjOZ, 6468778]
[paragraph, [60.0, 633.0, 633.0, 18.0], p41ZqKzjOZ, 6468778]
[paragraph, [63.0, 666.0, 627.0, 18.0], XCOF4gK69J, 6468778]
[paragraph, [63.0, 684.0, 627.0, 18.0], XCOF4gK69J, 6468778]
[paragraph, [63.0, 702.0, 627.0, 18.0], XCOF4gK69J, 6468778]
[paragraph, [62.0, 732.0, 628.0, 18.0], 64kGxQzxrD, 6468778]
[paragraph, [62.0, 750.0, 628.0, 18.0], 64kGxQzxrD, 6468778]
[paragraph, [62.0, 768.0, 628.0, 18.0], 64kGxQzxrD, 6468778]
[paragraph, [62.0, 786.0, 628.0, 18.0], 64kGxQzxrD, 6468778]
[paragraph, [62.0, 804.0, 628.0, 18.0], 64kGxQzxrD, 6468778]
[paragraph, [62.0, 822.0, 628.0, 18.0], 64kGxQzxrD, 6468778]
[paragraph, [62.0, 840.0, 628.0, 18.0], 64kGxQzxrD, 6468778]
[paragraph, [62.0, 858.0, 628.0, 18.0], 64kGxQzxrD, 6468778]
[paragraph, [61.0, 888.0, 632.0, 18.0], F5S0jReBTF, 6468778]
[paragraph, [61.0, 906.0, 632.0, 18.0], F5S0jReBTF, 6468778]
[paragraph, [61.0, 924.0, 632.0, 18.0], F5S0jReBTF, 6468778]
[paragraph, [61.0, 942.0, 632.0, 18.0], F5S0jReBTF, 6468778]
[paragraph, [61.0, 960.0, 632.0, 18.0], F5S0jReBTF, 6468778]
[paragraph, [61.0, 978.0, 632.0, 18.0], F5S0jReBTF, 6468778]
[paragraph, [61.0, 996.0, 632.0, 18.0], F5S0jReBTF, 6468778]
[paragraph, [61.0, 1014.0, 632.0, 18.0], F5S0jReBTF, 6468778]
[paragraph, [61.0, 1032.0, 632.0, 18.0], F5S0jReBTF, 6468778]
[paragraph, [61.0, 1050.0, 632.0, 18.0], F5S0jReBTF, 6468778]
[paragraph, [61.0, 1068.0, 632.0, 18.0], F5S0jReBTF, 6468778]
[paragraph, [61.0, 1086.0, 632.0, 18.0], F5S0jReBTF, 6468778]
[paragraph, [61.0, 1104.0, 632.0, 18.0], F5S0jReBTF, 6468778]
