[1754, 1241]
[paragraph, [216.0, 144.0, 882.0, 36.0], shoonya_0sG1F8LU97STJN, 6470257]
[paragraph, [216.0, 180.0, 882.0, 36.0], shoonya_0sG1F8LU97STJN, 6470257]
[paragraph, [216.0, 216.0, 882.0, 36.0], shoonya_0sG1F8LU97STJN, 6470257]
[paragraph, [216.0, 252.0, 882.0, 36.0], shoonya_0sG1F8LU97STJN, 6470257]
[paragraph, [212.0, 316.0, 890.0, 36.0], SnA-YC2s_Q, 6470257]
[paragraph, [212.0, 352.0, 890.0, 36.0], SnA-YC2s_Q, 6470257]
[paragraph, [212.0, 388.0, 890.0, 36.0], SnA-YC2s_Q, 6470257]
[paragraph, [212.0, 424.0, 890.0, 36.0], SnA-YC2s_Q, 6470257]
[paragraph, [212.0, 460.0, 890.0, 36.0], SnA-YC2s_Q, 6470257]
[paragraph, [212.0, 496.0, 890.0, 36.0], SnA-YC2s_Q, 6470257]
[paragraph, [212.0, 532.0, 890.0, 36.0], SnA-YC2s_Q, 6470257]
[paragraph, [212.0, 568.0, 890.0, 36.0], SnA-YC2s_Q, 6470257]
[paragraph, [212.0, 604.0, 890.0, 36.0], SnA-YC2s_Q, 6470257]
[paragraph, [215.0, 658.0, 884.0, 36.0], driZEDx75Q, 6470257]
[paragraph, [215.0, 694.0, 884.0, 36.0], driZEDx75Q, 6470257]
[paragraph, [215.0, 730.0, 884.0, 36.0], driZEDx75Q, 6470257]
[paragraph, [215.0, 766.0, 884.0, 36.0], driZEDx75Q, 6470257]
[paragraph, [215.0, 802.0, 884.0, 36.0], driZEDx75Q, 6470257]
[paragraph, [215.0, 838.0, 884.0, 36.0], driZEDx75Q, 6470257]
[paragraph, [215.0, 874.0, 884.0, 36.0], driZEDx75Q, 6470257]
[paragraph, [209.0, 952.0, 886.0, 36.0], cdgUUNmGKB, 6470257]
[paragraph, [209.0, 988.0, 886.0, 36.0], cdgUUNmGKB, 6470257]
[paragraph, [209.0, 1024.0, 886.0, 36.0], cdgUUNmGKB, 6470257]
[paragraph, [209.0, 1060.0, 886.0, 36.0], cdgUUNmGKB, 6470257]
[paragraph, [209.0, 1096.0, 886.0, 36.0], cdgUUNmGKB, 6470257]
[paragraph, [209.0, 1132.0, 886.0, 36.0], cdgUUNmGKB, 6470257]
[paragraph, [209.0, 1168.0, 886.0, 36.0], cdgUUNmGKB, 6470257]
[paragraph, [221.0, 1239.0, 621.0, 36.0], xh2yrbkI1O, 6470257]
[paragraph, [289.0, 1300.0, 432.0, 36.0], bOVKoD0JM9, 6470257]
[paragraph, [289.0, 1336.0, 432.0, 36.0], bOVKoD0JM9, 6470257]
[paragraph, [289.0, 1372.0, 432.0, 36.0], bOVKoD0JM9, 6470257]
[paragraph, [289.0, 1408.0, 432.0, 36.0], bOVKoD0JM9, 6470257]
[folio, [807.0, 1402.0, 291.0, 36.0], 7cQAIDi9IO, 6470257]
[paragraph, [209.0, 1468.0, 903.0, 36.0], VQ0Gq1uSzl, 6470257]
[paragraph, [209.0, 1504.0, 903.0, 36.0], VQ0Gq1uSzl, 6470257]
[paragraph, [209.0, 1540.0, 903.0, 36.0], VQ0Gq1uSzl, 6470257]
