[842, 595]
[folio, [37.0, 74.0, 47.0, 18.0], shoonya_2sECQZHP0N711W, 5742210]
[folio, [37.0, 92.0, 47.0, 18.0], shoonya_2sECQZHP0N711W, 5742210]
[folio, [37.0, 110.0, 47.0, 18.0], shoonya_2sECQZHP0N711W, 5742210]
[paragraph, [301.0, 91.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 109.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 127.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 145.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 163.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 181.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 199.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 217.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 235.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 253.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 271.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 289.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 307.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 325.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 343.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 361.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 379.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 397.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[paragraph, [301.0, 415.0, 243.0, 18.0], shoonya_4sGLBIXCOKGHQ5, 5742210]
[headline, [68.0, 117.0, 212.0, 25.5], shoonya_3sHOD4I990Q6EU, 5742210]
[paragraph, [52.0, 145.0, 246.0, 18.0], QPHaRdlLbe, 5742210]
[paragraph, [52.0, 163.0, 246.0, 18.0], QPHaRdlLbe, 5742210]
[paragraph, [52.0, 181.0, 246.0, 18.0], QPHaRdlLbe, 5742210]
[paragraph, [52.0, 199.0, 246.0, 18.0], QPHaRdlLbe, 5742210]
[paragraph, [52.0, 217.0, 246.0, 18.0], QPHaRdlLbe, 5742210]
[paragraph, [52.0, 235.0, 246.0, 18.0], QPHaRdlLbe, 5742210]
[paragraph, [52.0, 253.0, 246.0, 18.0], QPHaRdlLbe, 5742210]
[paragraph, [52.0, 271.0, 246.0, 18.0], QPHaRdlLbe, 5742210]
[paragraph, [52.0, 289.0, 246.0, 18.0], QPHaRdlLbe, 5742210]
[paragraph, [52.0, 315.0, 243.0, 18.0], shoonya_7sTGA28R5F9CVC, 5742210]
[paragraph, [52.0, 333.0, 243.0, 18.0], shoonya_7sTGA28R5F9CVC, 5742210]
[paragraph, [52.0, 351.0, 243.0, 18.0], shoonya_7sTGA28R5F9CVC, 5742210]
[paragraph, [52.0, 369.0, 243.0, 18.0], shoonya_7sTGA28R5F9CVC, 5742210]
[paragraph, [52.0, 387.0, 243.0, 18.0], shoonya_7sTGA28R5F9CVC, 5742210]
[paragraph, [52.0, 405.0, 243.0, 18.0], shoonya_7sTGA28R5F9CVC, 5742210]
[paragraph, [52.0, 423.0, 243.0, 18.0], shoonya_7sTGA28R5F9CVC, 5742210]
[paragraph, [52.0, 441.0, 243.0, 18.0], shoonya_7sTGA28R5F9CVC, 5742210]
[paragraph, [52.0, 459.0, 243.0, 18.0], shoonya_7sTGA28R5F9CVC, 5742210]
[paragraph, [52.0, 477.0, 243.0, 18.0], shoonya_7sTGA28R5F9CVC, 5742210]
[paragraph, [52.0, 495.0, 243.0, 18.0], shoonya_7sTGA28R5F9CVC, 5742210]
[paragraph, [52.0, 513.0, 243.0, 18.0], shoonya_7sTGA28R5F9CVC, 5742210]
[paragraph, [301.0, 443.0, 241.0, 18.0], shoonya_1sBM77GOIZR5ER, 5742210]
[paragraph, [301.0, 461.0, 241.0, 18.0], shoonya_1sBM77GOIZR5ER, 5742210]
[paragraph, [301.0, 479.0, 241.0, 18.0], shoonya_1sBM77GOIZR5ER, 5742210]
[paragraph, [301.0, 497.0, 241.0, 18.0], shoonya_1sBM77GOIZR5ER, 5742210]
[paragraph, [300.0, 521.0, 242.0, 18.0], shoonya_0s6RC1OHQ7FK98, 5742210]
[paragraph, [300.0, 539.0, 242.0, 18.0], shoonya_0s6RC1OHQ7FK98, 5742210]
[paragraph, [300.0, 557.0, 242.0, 18.0], shoonya_0s6RC1OHQ7FK98, 5742210]
[paragraph, [300.0, 575.0, 242.0, 18.0], shoonya_0s6RC1OHQ7FK98, 5742210]
[paragraph, [300.0, 593.0, 242.0, 18.0], shoonya_0s6RC1OHQ7FK98, 5742210]
[paragraph, [300.0, 611.0, 242.0, 18.0], shoonya_0s6RC1OHQ7FK98, 5742210]
[paragraph, [300.0, 629.0, 242.0, 18.0], shoonya_0s6RC1OHQ7FK98, 5742210]
[paragraph, [300.0, 647.0, 242.0, 18.0], shoonya_0s6RC1OHQ7FK98, 5742210]
[paragraph, [300.0, 665.0, 242.0, 18.0], shoonya_0s6RC1OHQ7FK98, 5742210]
[author, [426.0, 694.0, 116.0, 18.0], shoonya_8sJN0DM4TSNE76, 5742210]
[folio, [468.0, 739.0, 77.0, 18.0], shoonya_6sSCOYPQSSDAHQ, 5742210]
[folio, [468.0, 757.0, 77.0, 18.0], shoonya_6sSCOYPQSSDAHQ, 5742210]
