[1650, 1275]
[section-title, [390.0, 149.0, 497.0, 49.5], 75kbyHNV0c, 5780868]
[ordered-list, [160.0, 285.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 321.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 357.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 393.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 429.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 465.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 501.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 537.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 573.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 609.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 645.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 681.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 717.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 753.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 789.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 825.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[ordered-list, [160.0, 861.0, 1064.0, 36.0], ApOApnbCLS, 5780868]
[sidebar, [943.0, 286.0, 176.0, 36.0], VWHTBm-Ccx, 5780868]
[sub-ordered-list, [196.0, 329.0, 685.0, 36.0], UWSL-Fg2cg, 5780868]
[sub-ordered-list, [196.0, 365.0, 685.0, 36.0], UWSL-Fg2cg, 5780868]
[sidebar, [941.0, 430.0, 199.0, 36.0], mTCRiDUhLh, 5780868]
[sub-ordered-list, [210.0, 470.0, 769.0, 36.0], 9rdF5KHFSF, 5780868]
[sub-ordered-list, [210.0, 506.0, 769.0, 36.0], 9rdF5KHFSF, 5780868]
[sidebar, [945.0, 573.0, 154.0, 36.0], y-T7kcl741, 5780868]
[sub-ordered-list, [208.0, 610.0, 651.0, 36.0], 3YSqwS1IMM, 5780868]
[sub-ordered-list, [208.0, 646.0, 651.0, 36.0], 3YSqwS1IMM, 5780868]
[sub-ordered-list, [208.0, 682.0, 651.0, 36.0], 3YSqwS1IMM, 5780868]
[sidebar, [937.0, 739.0, 202.0, 36.0], cXlRgSZtfR, 5780868]
[sub-ordered-list, [208.0, 782.0, 768.0, 36.0], MeFuBdnLR1, 5780868]
[sub-ordered-list, [208.0, 818.0, 768.0, 36.0], MeFuBdnLR1, 5780868]
[sub-ordered-list, [208.0, 854.0, 768.0, 36.0], MeFuBdnLR1, 5780868]
[reference, [176.0, 1026.0, 982.0, 36.0], shoonya_0sWE0MYNKC7MYR, 5780868]
[reference, [176.0, 1062.0, 982.0, 36.0], shoonya_0sWE0MYNKC7MYR, 5780868]
[reference, [176.0, 1098.0, 982.0, 36.0], shoonya_0sWE0MYNKC7MYR, 5780868]
[reference, [176.0, 1134.0, 982.0, 36.0], shoonya_0sWE0MYNKC7MYR, 5780868]
[reference, [176.0, 1170.0, 982.0, 36.0], shoonya_0sWE0MYNKC7MYR, 5780868]
[reference, [176.0, 1206.0, 982.0, 36.0], shoonya_0sWE0MYNKC7MYR, 5780868]
[reference, [176.0, 1242.0, 982.0, 36.0], shoonya_0sWE0MYNKC7MYR, 5780868]
[reference, [176.0, 1278.0, 982.0, 36.0], shoonya_0sWE0MYNKC7MYR, 5780868]
[reference, [176.0, 1314.0, 982.0, 36.0], shoonya_0sWE0MYNKC7MYR, 5780868]
[reference, [176.0, 1350.0, 982.0, 36.0], shoonya_0sWE0MYNKC7MYR, 5780868]
[reference, [176.0, 1386.0, 982.0, 36.0], shoonya_0sWE0MYNKC7MYR, 5780868]
[reference, [176.0, 1422.0, 982.0, 36.0], shoonya_0sWE0MYNKC7MYR, 5780868]
[reference, [176.0, 1458.0, 982.0, 36.0], shoonya_0sWE0MYNKC7MYR, 5780868]
