[1004, 621]
[paragraph, [39.0, 102.0, 540.0, 18.0], shoonya_0sG0CPDUJRSURA, 5741205]
[paragraph, [39.0, 120.0, 540.0, 18.0], shoonya_0sG0CPDUJRSURA, 5741205]
[paragraph, [39.0, 138.0, 540.0, 18.0], shoonya_0sG0CPDUJRSURA, 5741205]
[paragraph, [39.0, 156.0, 540.0, 18.0], shoonya_0sG0CPDUJRSURA, 5741205]
[paragraph, [39.0, 174.0, 540.0, 18.0], shoonya_0sG0CPDUJRSURA, 5741205]
[paragraph, [20.0, 241.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 259.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 277.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 295.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 313.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 331.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 349.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 367.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 385.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 403.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 421.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 439.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 457.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 475.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 493.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 511.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 529.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 547.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 565.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 583.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 601.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 619.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 637.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 655.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 673.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 691.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 709.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 727.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 745.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 763.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 781.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 799.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 817.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 835.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 853.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 871.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 889.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 907.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 925.0, 599.0, 18.0], D1AknIrqRl, 5741205]
[paragraph, [20.0, 943.0, 599.0, 18.0], D1AknIrqRl, 5741205]
