[3509, 2480]
[paragraph, [377.0, 391.0, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 443.5, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 496.0, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 548.5, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 601.0, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 653.5, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 706.0, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 758.5, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 811.0, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 863.5, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 916.0, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 968.5, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 1021.0, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 1073.5, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 1126.0, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 1178.5, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 1231.0, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 1283.5, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 1336.0, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [377.0, 1388.5, 1726.0, 52.5], shoonya_3sA02YG0VAS1KJ, 5724526]
[paragraph, [368.0, 1526.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 1578.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 1631.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 1683.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 1736.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 1788.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 1841.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 1893.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 1946.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 1998.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2051.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2103.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2156.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2208.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2261.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2313.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2366.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2418.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2471.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2523.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2576.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2628.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2681.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2733.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2786.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2838.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2891.0, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
[paragraph, [368.0, 2943.5, 1762.0, 52.5], shoonya_1s72SYQP9LHGJU, 5724526]
