[2339, 1654]
[paragraph, [401.0, 181.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 217.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 253.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 289.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 325.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 361.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 397.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 433.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 469.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 505.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 541.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 577.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 613.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 649.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 685.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 721.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 757.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 793.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 829.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 865.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 901.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 937.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 973.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 1009.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 1045.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 1081.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 1117.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 1153.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 1189.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 1225.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 1261.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [401.0, 1297.0, 947.0, 36.0], shoonya_1s65HV0F29E5NP, 5750424]
[paragraph, [185.0, 1379.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [185.0, 1415.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [185.0, 1451.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [185.0, 1487.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [185.0, 1523.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [185.0, 1559.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [185.0, 1595.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [185.0, 1631.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [185.0, 1667.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [185.0, 1703.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [185.0, 1739.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [185.0, 1775.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [185.0, 1811.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [185.0, 1847.0, 1294.0, 36.0], shoonya_0sWG4EOYI3YDTP, 5750424]
[paragraph, [190.0, 1959.0, 1281.0, 36.0], shoonya_3s0GIT7XMQHJH7, 5750424]
[paragraph, [190.0, 1995.0, 1281.0, 36.0], shoonya_3s0GIT7XMQHJH7, 5750424]
[paragraph, [190.0, 2031.0, 1281.0, 36.0], shoonya_3s0GIT7XMQHJH7, 5750424]
[paragraph, [190.0, 2067.0, 1281.0, 36.0], shoonya_3s0GIT7XMQHJH7, 5750424]
[folio, [190.0, 2158.0, 258.0, 36.0], 5S2vblyxm9, 5750424]
[folio, [190.0, 2194.0, 258.0, 36.0], 5S2vblyxm9, 5750424]
