[1492, 1000]
[folio, [415.0, 153.0, 206.0, 18.0], shoonya_2s78UR0YVH2G2S, 5720012]
[paragraph, [154.0, 208.0, 719.0, 18.0], shoonya_0sLPANBX2RXXEZ, 5720012]
[paragraph, [154.0, 226.0, 719.0, 18.0], shoonya_0sLPANBX2RXXEZ, 5720012]
[paragraph, [154.0, 244.0, 719.0, 18.0], shoonya_0sLPANBX2RXXEZ, 5720012]
[paragraph, [154.0, 262.0, 719.0, 18.0], shoonya_0sLPANBX2RXXEZ, 5720012]
[paragraph, [154.0, 280.0, 719.0, 18.0], shoonya_0sLPANBX2RXXEZ, 5720012]
[paragraph, [154.0, 298.0, 719.0, 18.0], shoonya_0sLPANBX2RXXEZ, 5720012]
[paragraph, [154.0, 316.0, 719.0, 18.0], shoonya_0sLPANBX2RXXEZ, 5720012]
[paragraph, [154.0, 334.0, 719.0, 18.0], shoonya_0sLPANBX2RXXEZ, 5720012]
[paragraph, [154.0, 352.0, 719.0, 18.0], shoonya_0sLPANBX2RXXEZ, 5720012]
[paragraph, [154.0, 370.0, 719.0, 18.0], shoonya_0sLPANBX2RXXEZ, 5720012]
[paragraph, [153.0, 408.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 426.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 444.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 462.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 480.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 498.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 516.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 534.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 552.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 570.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 588.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 606.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 624.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 642.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 660.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 678.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 696.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 714.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 732.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 750.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 768.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 786.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 804.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 822.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 840.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 858.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 876.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 894.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 912.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 930.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 948.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [153.0, 966.0, 728.0, 18.0], 1A2FKh1rbS, 5720012]
[paragraph, [152.0, 994.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1012.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1030.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1048.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1066.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1084.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1102.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1120.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1138.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1156.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1174.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1192.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1210.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1228.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1246.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1264.0, 733.0, 18.0], v0E82JVaKW, 5720012]
[paragraph, [152.0, 1282.0, 733.0, 18.0], v0E82JVaKW, 5720012]
