[612, 792]
[headline, [247.0, 58.0, 299.0, 25.5], 52Py_rJ1eG, 6533800]
[headline, [247.0, 83.5, 299.0, 25.5], 52Py_rJ1eG, 6533800]
[paragraph, [70.0, 125.0, 659.0, 18.0], shoonya_0s2K1QW51ROOP7, 6533800]
[paragraph, [70.0, 143.0, 659.0, 18.0], shoonya_0s2K1QW51ROOP7, 6533800]
[paragraph, [70.0, 161.0, 659.0, 18.0], shoonya_0s2K1QW51ROOP7, 6533800]
[paragraph, [70.0, 179.0, 659.0, 18.0], shoonya_0s2K1QW51ROOP7, 6533800]
[paragraph, [70.0, 197.0, 659.0, 18.0], shoonya_0s2K1QW51ROOP7, 6533800]
[paragraph, [70.0, 215.0, 659.0, 18.0], shoonya_0s2K1QW51ROOP7, 6533800]
[paragraph, [70.0, 233.0, 659.0, 18.0], shoonya_0s2K1QW51ROOP7, 6533800]
[paragraph, [70.0, 251.0, 659.0, 18.0], shoonya_0s2K1QW51ROOP7, 6533800]
[paragraph, [70.0, 269.0, 659.0, 18.0], shoonya_0s2K1QW51ROOP7, 6533800]
[paragraph, [70.0, 287.0, 659.0, 18.0], shoonya_0s2K1QW51ROOP7, 6533800]
[paragraph, [70.0, 305.0, 659.0, 18.0], shoonya_0s2K1QW51ROOP7, 6533800]
[paragraph, [70.0, 323.0, 659.0, 18.0], shoonya_0s2K1QW51ROOP7, 6533800]
[paragraph, [70.0, 341.0, 659.0, 18.0], shoonya_0s2K1QW51ROOP7, 6533800]
[paragraph, [59.0, 370.0, 668.0, 18.0], mRT490BFPH, 6533800]
[paragraph, [59.0, 388.0, 668.0, 18.0], mRT490BFPH, 6533800]
[paragraph, [59.0, 406.0, 668.0, 18.0], mRT490BFPH, 6533800]
[paragraph, [59.0, 424.0, 668.0, 18.0], mRT490BFPH, 6533800]
[paragraph, [59.0, 442.0, 668.0, 18.0], mRT490BFPH, 6533800]
[paragraph, [59.0, 460.0, 668.0, 18.0], mRT490BFPH, 6533800]
[paragraph, [59.0, 478.0, 668.0, 18.0], mRT490BFPH, 6533800]
[folio, [333.0, 540.0, 100.0, 18.0], Dnb88d-jnZ, 6533800]
