[2067, 1567]
[folio, [191.0, 197.0, 156.0, 36.0], 7RK_RQrmcH, 5736206]
[folio, [1120.0, 197.0, 254.0, 36.0], 15TmaekbJG, 5736206]
[paragraph, [190.0, 249.0, 580.0, 36.0], shoonya_0sUUF3D4UUNH4T, 5736206]
[paragraph, [190.0, 285.0, 580.0, 36.0], shoonya_0sUUF3D4UUNH4T, 5736206]
[paragraph, [190.0, 321.0, 580.0, 36.0], shoonya_0sUUF3D4UUNH4T, 5736206]
[paragraph, [190.0, 357.0, 580.0, 36.0], shoonya_0sUUF3D4UUNH4T, 5736206]
[paragraph, [190.0, 393.0, 580.0, 36.0], shoonya_0sUUF3D4UUNH4T, 5736206]
[paragraph, [190.0, 429.0, 580.0, 36.0], shoonya_0sUUF3D4UUNH4T, 5736206]
[paragraph, [190.0, 465.0, 580.0, 36.0], shoonya_0sUUF3D4UUNH4T, 5736206]
[paragraph, [190.0, 501.0, 580.0, 36.0], shoonya_0sUUF3D4UUNH4T, 5736206]
[paragraph, [190.0, 537.0, 580.0, 36.0], shoonya_0sUUF3D4UUNH4T, 5736206]
[paragraph, [190.0, 573.0, 580.0, 36.0], shoonya_0sUUF3D4UUNH4T, 5736206]
[paragraph, [190.0, 609.0, 580.0, 36.0], shoonya_0sUUF3D4UUNH4T, 5736206]
[paragraph, [190.0, 645.0, 580.0, 36.0], shoonya_0sUUF3D4UUNH4T, 5736206]
[paragraph, [190.0, 681.0, 580.0, 36.0], shoonya_0sUUF3D4UUNH4T, 5736206]
[paragraph, [791.0, 249.0, 581.0, 36.0], shoonya_4sXD6QW7QF80NI, 5736206]
[paragraph, [791.0, 285.0, 581.0, 36.0], shoonya_4sXD6QW7QF80NI, 5736206]
[paragraph, [791.0, 321.0, 581.0, 36.0], shoonya_4sXD6QW7QF80NI, 5736206]
[paragraph, [791.0, 357.0, 581.0, 36.0], shoonya_4sXD6QW7QF80NI, 5736206]
[paragraph, [791.0, 393.0, 581.0, 36.0], shoonya_4sXD6QW7QF80NI, 5736206]
[paragraph, [791.0, 429.0, 581.0, 36.0], shoonya_4sXD6QW7QF80NI, 5736206]
[paragraph, [791.0, 465.0, 581.0, 36.0], shoonya_4sXD6QW7QF80NI, 5736206]
[paragraph, [791.0, 501.0, 581.0, 36.0], shoonya_4sXD6QW7QF80NI, 5736206]
[paragraph, [791.0, 537.0, 581.0, 36.0], shoonya_4sXD6QW7QF80NI, 5736206]
[paragraph, [791.0, 573.0, 581.0, 36.0], shoonya_4sXD6QW7QF80NI, 5736206]
[paragraph, [791.0, 609.0, 581.0, 36.0], shoonya_4sXD6QW7QF80NI, 5736206]
[paragraph, [791.0, 645.0, 581.0, 36.0], shoonya_4sXD6QW7QF80NI, 5736206]
