[596, 480]
[paragraph, [92.0, 52.0, 325.0, 18.0], Ub9RbGS3Ez, 6495420]
[paragraph, [92.0, 70.0, 325.0, 18.0], Ub9RbGS3Ez, 6495420]
[paragraph, [87.0, 94.0, 323.0, 18.0], shoonya_0s1RH06Q5ELHA5, 6495420]
[paragraph, [87.0, 112.0, 323.0, 18.0], shoonya_0s1RH06Q5ELHA5, 6495420]
[paragraph, [87.0, 130.0, 323.0, 18.0], shoonya_0s1RH06Q5ELHA5, 6495420]
[paragraph, [87.0, 148.0, 323.0, 18.0], shoonya_0s1RH06Q5ELHA5, 6495420]
[paragraph, [87.0, 166.0, 323.0, 18.0], shoonya_0s1RH06Q5ELHA5, 6495420]
[paragraph, [87.0, 184.0, 323.0, 18.0], shoonya_0s1RH06Q5ELHA5, 6495420]
[paragraph, [87.0, 202.0, 323.0, 18.0], shoonya_0s1RH06Q5ELHA5, 6495420]
[paragraph, [87.0, 220.0, 323.0, 18.0], shoonya_0s1RH06Q5ELHA5, 6495420]
[paragraph, [87.0, 238.0, 323.0, 18.0], shoonya_0s1RH06Q5ELHA5, 6495420]
[paragraph, [87.0, 256.0, 323.0, 18.0], shoonya_0s1RH06Q5ELHA5, 6495420]
[paragraph, [87.0, 274.0, 323.0, 18.0], shoonya_0s1RH06Q5ELHA5, 6495420]
[paragraph, [87.0, 292.0, 323.0, 18.0], shoonya_0s1RH06Q5ELHA5, 6495420]
[paragraph, [87.0, 310.0, 323.0, 18.0], shoonya_0s1RH06Q5ELHA5, 6495420]
[paragraph, [88.0, 339.0, 318.0, 18.0], 1gZByxT9xK, 6495420]
[paragraph, [88.0, 357.0, 318.0, 18.0], 1gZByxT9xK, 6495420]
[paragraph, [88.0, 375.0, 318.0, 18.0], 1gZByxT9xK, 6495420]
[paragraph, [88.0, 393.0, 318.0, 18.0], 1gZByxT9xK, 6495420]
[paragraph, [87.0, 429.0, 326.0, 18.0], Yy8zcxHR3L, 6495420]
[paragraph, [87.0, 447.0, 326.0, 18.0], Yy8zcxHR3L, 6495420]
[paragraph, [87.0, 465.0, 326.0, 18.0], Yy8zcxHR3L, 6495420]
[paragraph, [87.0, 483.0, 326.0, 18.0], Yy8zcxHR3L, 6495420]
