[578, 1154]
[section-title, [48.0, 61.0, 224.0, 30.0], WZTlNhbJPh, 5715451]
[paragraph, [627.0, 88.0, 253.0, 18.0], y_jJP_QheT, 5715451]
[figure-caption, [84.0, 160.0, 91.0, 18.0], WQBsoUvxHn, 5715451]
[figure-caption, [84.0, 178.0, 91.0, 18.0], WQBsoUvxHn, 5715451]
[figure-caption, [84.0, 196.0, 91.0, 18.0], WQBsoUvxHn, 5715451]
[figure-caption, [84.0, 214.0, 91.0, 18.0], WQBsoUvxHn, 5715451]
[figure-caption, [293.0, 163.0, 100.0, 18.0], z3Di5eLuSg, 5715451]
[figure-caption, [293.0, 181.0, 100.0, 18.0], z3Di5eLuSg, 5715451]
[figure-caption, [293.0, 199.0, 100.0, 18.0], z3Di5eLuSg, 5715451]
[figure-caption, [293.0, 217.0, 100.0, 18.0], z3Di5eLuSg, 5715451]
[figure-caption, [195.0, 165.0, 80.0, 18.0], e8NP3sN8op, 5715451]
[figure-caption, [195.0, 183.0, 80.0, 18.0], e8NP3sN8op, 5715451]
[figure-caption, [195.0, 201.0, 80.0, 18.0], e8NP3sN8op, 5715451]
[figure-caption, [411.0, 165.0, 104.0, 18.0], MreBvjd7uo, 5715451]
[figure-caption, [411.0, 183.0, 104.0, 18.0], MreBvjd7uo, 5715451]
[figure-caption, [411.0, 201.0, 104.0, 18.0], MreBvjd7uo, 5715451]
[figure-caption, [411.0, 219.0, 104.0, 18.0], MreBvjd7uo, 5715451]
[contact-info, [606.0, 349.0, 483.0, 18.0], u5QifbjbfG, 5715451]
[contact-info, [606.0, 367.0, 483.0, 18.0], u5QifbjbfG, 5715451]
[contact-info, [606.0, 385.0, 483.0, 18.0], u5QifbjbfG, 5715451]
[contact-info, [606.0, 403.0, 483.0, 18.0], u5QifbjbfG, 5715451]
[contact-info, [606.0, 421.0, 483.0, 18.0], u5QifbjbfG, 5715451]
[figure-caption, [427.0, 361.0, 82.0, 18.0], mcwSOfipO2, 5715451]
[folio, [627.0, 452.0, 363.0, 18.0], yob_doAHlp, 5715451]
[folio, [694.0, 493.0, 247.0, 18.0], fh7hIwOcGx, 5715451]
