[3960, 3060]
[paragraph, [784.0, 379.0, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 431.5, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 484.0, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 536.5, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 589.0, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 641.5, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 694.0, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 746.5, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 799.0, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 851.5, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 904.0, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 956.5, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 1009.0, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 1061.5, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 1114.0, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 1166.5, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 1219.0, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[paragraph, [784.0, 1271.5, 1829.0, 52.5], shoonya_0sR76Y8UWRNGXO, 5698464]
[ordered-list, [788.0, 1352.0, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 1404.5, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 1457.0, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 1509.5, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 1562.0, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 1614.5, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 1667.0, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 1719.5, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 1772.0, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 1824.5, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 1877.0, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 1929.5, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 1982.0, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 2034.5, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 2087.0, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 2139.5, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 2192.0, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 2244.5, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 2297.0, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 2349.5, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 2402.0, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[ordered-list, [788.0, 2454.5, 1838.0, 52.5], shoonya_1sGGG5P2KRT379, 5698464]
[paragraph, [772.0, 2660.0, 1824.0, 52.5], shoonya_2sMRRUXU6F3ZJ0, 5698464]
[paragraph, [772.0, 2712.5, 1824.0, 52.5], shoonya_2sMRRUXU6F3ZJ0, 5698464]
[paragraph, [772.0, 2765.0, 1824.0, 52.5], shoonya_2sMRRUXU6F3ZJ0, 5698464]
[paragraph, [772.0, 2817.5, 1824.0, 52.5], shoonya_2sMRRUXU6F3ZJ0, 5698464]
[paragraph, [772.0, 2870.0, 1824.0, 52.5], shoonya_2sMRRUXU6F3ZJ0, 5698464]
[paragraph, [772.0, 2922.5, 1824.0, 52.5], shoonya_2sMRRUXU6F3ZJ0, 5698464]
[paragraph, [772.0, 2975.0, 1824.0, 52.5], shoonya_2sMRRUXU6F3ZJ0, 5698464]
[paragraph, [772.0, 3027.5, 1824.0, 52.5], shoonya_2sMRRUXU6F3ZJ0, 5698464]
[paragraph, [772.0, 3080.0, 1824.0, 52.5], shoonya_2sMRRUXU6F3ZJ0, 5698464]
[paragraph, [772.0, 3132.5, 1824.0, 52.5], shoonya_2sMRRUXU6F3ZJ0, 5698464]
[paragraph, [772.0, 3185.0, 1824.0, 52.5], shoonya_2sMRRUXU6F3ZJ0, 5698464]
[paragraph, [772.0, 3237.5, 1824.0, 52.5], shoonya_2sMRRUXU6F3ZJ0, 5698464]
[paragraph, [772.0, 3290.0, 1824.0, 52.5], shoonya_2sMRRUXU6F3ZJ0, 5698464]
