[595, 454]
[chapter-title, [218.0, 133.0, 206.0, 30.0], shoonya_2sS4NLEHLCFY5W, 6459470]
[paragraph, [232.0, 176.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 194.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 212.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 230.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 248.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 266.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 284.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 302.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 320.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 338.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 356.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 374.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 392.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 410.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 428.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 446.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 464.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 482.0, 196.0, 18.0], shoonya_1sSRKHREYYUC8H, 6459470]
[paragraph, [232.0, 507.0, 197.0, 18.0], q08Cgccwhe, 6459470]
[folio, [228.0, 533.0, 197.0, 18.0], shoonya_4s18V4G3ECVXV8, 6459470]
[folio, [228.0, 551.0, 197.0, 18.0], shoonya_4s18V4G3ECVXV8, 6459470]
