[1244, 863]
[chapter-title, [332.0, 31.0, 273.0, 30.0], shoonya_16sP7S5CMOWBPZ, 5776374]
[paragraph, [157.0, 71.0, 629.0, 18.0], shoonya_12sWJXURCXPIHN, 5776374]
[paragraph, [157.0, 89.0, 629.0, 18.0], shoonya_12sWJXURCXPIHN, 5776374]
[paragraph, [157.0, 122.0, 628.0, 18.0], shoonya_4s81U6BIY3EHSW, 5776374]
[paragraph, [157.0, 140.0, 628.0, 18.0], shoonya_4s81U6BIY3EHSW, 5776374]
[paragraph, [157.0, 158.0, 628.0, 18.0], shoonya_4s81U6BIY3EHSW, 5776374]
[paragraph, [157.0, 176.0, 628.0, 18.0], shoonya_4s81U6BIY3EHSW, 5776374]
[paragraph, [175.0, 197.0, 537.0, 18.0], shoonya_8sXU6MHPD7N02Y, 5776374]
[paragraph, [154.0, 225.0, 631.0, 18.0], shoonya_3s9AUN3F2AYO14, 5776374]
[paragraph, [154.0, 243.0, 631.0, 18.0], shoonya_3s9AUN3F2AYO14, 5776374]
[paragraph, [154.0, 274.0, 632.0, 18.0], shoonya_1s67WU8X9ZJWT4, 5776374]
[paragraph, [154.0, 292.0, 632.0, 18.0], shoonya_1s67WU8X9ZJWT4, 5776374]
[paragraph, [154.0, 310.0, 632.0, 18.0], shoonya_1s67WU8X9ZJWT4, 5776374]
[paragraph, [154.0, 328.0, 632.0, 18.0], shoonya_1s67WU8X9ZJWT4, 5776374]
[paragraph, [154.0, 346.0, 632.0, 18.0], shoonya_1s67WU8X9ZJWT4, 5776374]
[paragraph, [154.0, 364.0, 632.0, 18.0], shoonya_1s67WU8X9ZJWT4, 5776374]
[paragraph, [154.0, 382.0, 632.0, 18.0], shoonya_1s67WU8X9ZJWT4, 5776374]
[paragraph, [154.0, 400.0, 632.0, 18.0], shoonya_1s67WU8X9ZJWT4, 5776374]
[paragraph, [154.0, 418.0, 632.0, 18.0], shoonya_1s67WU8X9ZJWT4, 5776374]
[paragraph, [177.0, 449.0, 429.0, 18.0], shoonya_6sC1RVAWOESLWF, 5776374]
[paragraph, [156.0, 476.0, 629.0, 18.0], shoonya_0s6AQKH1J7I532, 5776374]
[paragraph, [156.0, 494.0, 629.0, 18.0], shoonya_0s6AQKH1J7I532, 5776374]
[paragraph, [156.0, 512.0, 629.0, 18.0], shoonya_0s6AQKH1J7I532, 5776374]
[paragraph, [156.0, 530.0, 629.0, 18.0], shoonya_0s6AQKH1J7I532, 5776374]
[paragraph, [156.0, 548.0, 629.0, 18.0], shoonya_0s6AQKH1J7I532, 5776374]
[paragraph, [156.0, 566.0, 629.0, 18.0], shoonya_0s6AQKH1J7I532, 5776374]
[paragraph, [156.0, 584.0, 629.0, 18.0], shoonya_0s6AQKH1J7I532, 5776374]
[paragraph, [156.0, 602.0, 629.0, 18.0], shoonya_0s6AQKH1J7I532, 5776374]
[paragraph, [156.0, 620.0, 629.0, 18.0], shoonya_0s6AQKH1J7I532, 5776374]
[paragraph, [155.0, 651.0, 631.0, 18.0], shoonya_2sNJRBI3YSQTUB, 5776374]
[paragraph, [155.0, 669.0, 631.0, 18.0], shoonya_2sNJRBI3YSQTUB, 5776374]
[paragraph, [155.0, 687.0, 631.0, 18.0], shoonya_2sNJRBI3YSQTUB, 5776374]
[paragraph, [155.0, 705.0, 631.0, 18.0], shoonya_2sNJRBI3YSQTUB, 5776374]
[paragraph, [155.0, 723.0, 631.0, 18.0], shoonya_2sNJRBI3YSQTUB, 5776374]
[paragraph, [155.0, 741.0, 631.0, 18.0], shoonya_2sNJRBI3YSQTUB, 5776374]
[paragraph, [155.0, 759.0, 631.0, 18.0], shoonya_2sNJRBI3YSQTUB, 5776374]
[paragraph, [155.0, 777.0, 631.0, 18.0], shoonya_2sNJRBI3YSQTUB, 5776374]
[paragraph, [158.0, 802.0, 628.0, 18.0], shoonya_5s027EZB2CIY2R, 5776374]
[paragraph, [158.0, 820.0, 628.0, 18.0], shoonya_5s027EZB2CIY2R, 5776374]
[paragraph, [175.0, 852.0, 351.0, 18.0], shoonya_7sVUT0Q1A6R6GV, 5776374]
[paragraph, [159.0, 878.0, 626.0, 18.0], shoonya_15sO7O1SF7FUMQ, 5776374]
[paragraph, [159.0, 896.0, 626.0, 18.0], shoonya_15sO7O1SF7FUMQ, 5776374]
[paragraph, [159.0, 914.0, 626.0, 18.0], shoonya_15sO7O1SF7FUMQ, 5776374]
[paragraph, [181.0, 927.0, 269.0, 18.0], shoonya_9sH7F9KHK99UEA, 5776374]
[paragraph, [160.0, 955.0, 624.0, 18.0], shoonya_13sGNC28PT90BM, 5776374]
[paragraph, [160.0, 973.0, 624.0, 18.0], shoonya_13sGNC28PT90BM, 5776374]
[paragraph, [159.0, 1004.0, 625.0, 18.0], shoonya_14sA2FJ5WJ2E4S, 5776374]
[paragraph, [159.0, 1022.0, 625.0, 18.0], shoonya_14sA2FJ5WJ2E4S, 5776374]
[paragraph, [181.0, 1051.0, 462.0, 18.0], shoonya_11sDADEUSGD96W, 5776374]
