[842, 596]
[paragraph, [64.0, 53.0, 498.0, 18.0], shoonya_2sOP7MNOKHTBCQ, 5658494]
[paragraph, [64.0, 71.0, 498.0, 18.0], shoonya_2sOP7MNOKHTBCQ, 5658494]
[paragraph, [64.0, 89.0, 498.0, 18.0], shoonya_2sOP7MNOKHTBCQ, 5658494]
[paragraph, [64.0, 107.0, 498.0, 18.0], shoonya_2sOP7MNOKHTBCQ, 5658494]
[paragraph, [64.0, 125.0, 498.0, 18.0], shoonya_2sOP7MNOKHTBCQ, 5658494]
[paragraph, [64.0, 143.0, 498.0, 18.0], shoonya_2sOP7MNOKHTBCQ, 5658494]
[paragraph, [64.0, 161.0, 498.0, 18.0], shoonya_2sOP7MNOKHTBCQ, 5658494]
[paragraph, [62.0, 202.0, 501.0, 18.0], shoonya_0sNUJ2R4TBONJ4, 5658494]
[paragraph, [62.0, 220.0, 501.0, 18.0], shoonya_0sNUJ2R4TBONJ4, 5658494]
[paragraph, [62.0, 238.0, 501.0, 18.0], shoonya_0sNUJ2R4TBONJ4, 5658494]
[paragraph, [62.0, 256.0, 501.0, 18.0], shoonya_0sNUJ2R4TBONJ4, 5658494]
[paragraph, [62.0, 274.0, 501.0, 18.0], shoonya_0sNUJ2R4TBONJ4, 5658494]
[paragraph, [62.0, 292.0, 501.0, 18.0], shoonya_0sNUJ2R4TBONJ4, 5658494]
[paragraph, [62.0, 310.0, 501.0, 18.0], shoonya_0sNUJ2R4TBONJ4, 5658494]
[paragraph, [62.0, 328.0, 501.0, 18.0], shoonya_0sNUJ2R4TBONJ4, 5658494]
[ordered-list, [62.0, 413.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 431.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 449.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 467.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 485.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 503.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 521.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 539.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 557.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 575.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 593.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 611.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 629.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 647.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 665.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 683.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 701.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 719.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[ordered-list, [62.0, 737.0, 478.0, 18.0], Q2bcabh-s1, 5658494]
[sub-ordered-list, [72.0, 428.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 446.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 464.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 482.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 500.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 518.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 536.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 554.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 572.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 590.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 608.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 626.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 644.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 662.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 680.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 698.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[sub-ordered-list, [72.0, 716.0, 457.0, 18.0], shoonya_1sT2TC7EB4PEEZ, 5658494]
[footnote, [77.0, 776.0, 477.0, 18.0], Z6EIY6S8lh, 5658494]
