[1571, 1128]
[headline, [253.0, 252.0, 764.0, 37.5], eyv6kYBS34, 6472606]
[headline, [253.0, 289.5, 764.0, 37.5], eyv6kYBS34, 6472606]
[paragraph, [121.0, 379.0, 884.0, 36.0], kVvi9SMg-a, 6472606]
[paragraph, [121.0, 415.0, 884.0, 36.0], kVvi9SMg-a, 6472606]
[paragraph, [121.0, 451.0, 884.0, 36.0], kVvi9SMg-a, 6472606]
[paragraph, [256.0, 542.0, 383.0, 36.0], EN1qlP0y6j, 6472606]
[paragraph, [256.0, 578.0, 383.0, 36.0], EN1qlP0y6j, 6472606]
[paragraph, [256.0, 614.0, 383.0, 36.0], EN1qlP0y6j, 6472606]
[paragraph, [256.0, 650.0, 383.0, 36.0], EN1qlP0y6j, 6472606]
[paragraph, [256.0, 686.0, 383.0, 36.0], EN1qlP0y6j, 6472606]
[paragraph, [256.0, 722.0, 383.0, 36.0], EN1qlP0y6j, 6472606]
[paragraph, [649.0, 542.0, 384.0, 36.0], LkElTQ31ZA, 6472606]
[paragraph, [649.0, 578.0, 384.0, 36.0], LkElTQ31ZA, 6472606]
[paragraph, [646.0, 619.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 655.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 691.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 727.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 763.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 799.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 835.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 871.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 907.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 943.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 979.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 1015.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 1051.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 1087.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 1123.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 1159.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [646.0, 1195.0, 390.0, 36.0], shoonya_0s1853LJJFN5SH, 6472606]
[paragraph, [138.0, 858.0, 485.0, 36.0], MY8q0crBQO, 6472606]
[paragraph, [138.0, 894.0, 485.0, 36.0], MY8q0crBQO, 6472606]
[paragraph, [138.0, 949.0, 480.0, 36.0], sKwhRW65Lt, 6472606]
[paragraph, [138.0, 985.0, 480.0, 36.0], sKwhRW65Lt, 6472606]
[paragraph, [138.0, 1021.0, 480.0, 36.0], sKwhRW65Lt, 6472606]
[paragraph, [140.0, 1090.0, 478.0, 36.0], BfHaDHyqI4, 6472606]
[paragraph, [140.0, 1126.0, 478.0, 36.0], BfHaDHyqI4, 6472606]
[paragraph, [140.0, 1162.0, 478.0, 36.0], BfHaDHyqI4, 6472606]
[paragraph, [145.0, 1249.0, 473.0, 36.0], 6v6phFdP3n, 6472606]
[paragraph, [646.0, 1266.0, 390.0, 36.0], GNCicfgAuq, 6472606]
[paragraph, [646.0, 1302.0, 390.0, 36.0], GNCicfgAuq, 6472606]
[paragraph, [646.0, 1338.0, 390.0, 36.0], GNCicfgAuq, 6472606]
[paragraph, [646.0, 1374.0, 390.0, 36.0], GNCicfgAuq, 6472606]
[paragraph, [646.0, 1410.0, 390.0, 36.0], GNCicfgAuq, 6472606]
[paragraph, [145.0, 1317.0, 474.0, 36.0], mp1ugNx-Hn, 6472606]
[paragraph, [145.0, 1353.0, 474.0, 36.0], mp1ugNx-Hn, 6472606]
[reference, [335.0, 1387.0, 285.0, 36.0], NJw6RmD7gz, 6472606]
