[3509, 2482]
[folio, [856.0, 186.0, 552.0, 52.5], lDd7KJ8oF3, 5691696]
[folio, [856.0, 238.5, 552.0, 52.5], lDd7KJ8oF3, 5691696]
[paragraph, [304.0, 341.0, 989.0, 52.5], _RgHa8UHa5, 5691696]
[paragraph, [290.0, 427.0, 1012.0, 52.5], n4r6n9Zq4q, 5691696]
[paragraph, [198.0, 516.0, 1786.0, 52.5], H2KrIL4VWY, 5691696]
[paragraph, [198.0, 568.5, 1786.0, 52.5], H2KrIL4VWY, 5691696]
[paragraph, [198.0, 621.0, 1786.0, 52.5], H2KrIL4VWY, 5691696]
[paragraph, [198.0, 673.5, 1786.0, 52.5], H2KrIL4VWY, 5691696]
[paragraph, [164.0, 738.0, 1843.0, 52.5], Ab6xmiqINd, 5691696]
[paragraph, [164.0, 790.5, 1843.0, 52.5], Ab6xmiqINd, 5691696]
[paragraph, [164.0, 843.0, 1843.0, 52.5], Ab6xmiqINd, 5691696]
[paragraph, [202.0, 899.0, 1815.0, 52.5], 8aFd72r23_, 5691696]
[paragraph, [202.0, 951.5, 1815.0, 52.5], 8aFd72r23_, 5691696]
[paragraph, [133.0, 1046.0, 1895.0, 52.5], KEBqbk_n-x, 5691696]
[paragraph, [133.0, 1098.5, 1895.0, 52.5], KEBqbk_n-x, 5691696]
[paragraph, [133.0, 1151.0, 1895.0, 52.5], KEBqbk_n-x, 5691696]
[paragraph, [133.0, 1203.5, 1895.0, 52.5], KEBqbk_n-x, 5691696]
[paragraph, [133.0, 1256.0, 1895.0, 52.5], KEBqbk_n-x, 5691696]
[paragraph, [173.0, 1358.0, 1821.0, 52.5], qp5TZqpLJD, 5691696]
[paragraph, [173.0, 1410.5, 1821.0, 52.5], qp5TZqpLJD, 5691696]
[paragraph, [173.0, 1463.0, 1821.0, 52.5], qp5TZqpLJD, 5691696]
[paragraph, [173.0, 1515.5, 1821.0, 52.5], qp5TZqpLJD, 5691696]
[folio, [176.0, 1666.0, 378.0, 52.5], TieEd0agqs, 5691696]
[folio, [176.0, 1718.5, 378.0, 52.5], TieEd0agqs, 5691696]
[section-title, [974.0, 1796.0, 245.0, 93.0], Lz3vRZomlY, 5691696]
[paragraph, [167.0, 1908.0, 1878.0, 52.5], shoonya_0sH1DLD9GXW1WL, 5691696]
[paragraph, [167.0, 1960.5, 1878.0, 52.5], shoonya_0sH1DLD9GXW1WL, 5691696]
[paragraph, [167.0, 2013.0, 1878.0, 52.5], shoonya_0sH1DLD9GXW1WL, 5691696]
[paragraph, [167.0, 2065.5, 1878.0, 52.5], shoonya_0sH1DLD9GXW1WL, 5691696]
[paragraph, [167.0, 2118.0, 1878.0, 52.5], shoonya_0sH1DLD9GXW1WL, 5691696]
[paragraph, [167.0, 2170.5, 1878.0, 52.5], shoonya_0sH1DLD9GXW1WL, 5691696]
[section-title, [974.0, 2246.0, 241.0, 93.0], VGGOH1NuOR, 5691696]
[paragraph, [176.0, 2351.0, 1830.0, 52.5], C6GKC6iue0, 5691696]
[paragraph, [176.0, 2403.5, 1830.0, 52.5], C6GKC6iue0, 5691696]
[paragraph, [176.0, 2456.0, 1830.0, 52.5], C6GKC6iue0, 5691696]
[section-title, [989.0, 2553.0, 232.0, 93.0], -r_L9w5cXr, 5691696]
[paragraph, [176.0, 2665.0, 1855.0, 52.5], HE4Iv2oEux, 5691696]
[paragraph, [176.0, 2717.5, 1855.0, 52.5], HE4Iv2oEux, 5691696]
[paragraph, [176.0, 2770.0, 1855.0, 52.5], HE4Iv2oEux, 5691696]
[paragraph, [176.0, 2822.5, 1855.0, 52.5], HE4Iv2oEux, 5691696]
[paragraph, [176.0, 2875.0, 1855.0, 52.5], HE4Iv2oEux, 5691696]
[paragraph, [176.0, 2927.5, 1855.0, 52.5], HE4Iv2oEux, 5691696]
[paragraph, [284.0, 3003.0, 585.0, 52.5], WbKnPbFSHF, 5691696]
[paragraph, [202.0, 3087.0, 1779.0, 52.5], VAWkHPj8GJ, 5691696]
[paragraph, [202.0, 3139.5, 1779.0, 52.5], VAWkHPj8GJ, 5691696]
[paragraph, [202.0, 3192.0, 1779.0, 52.5], VAWkHPj8GJ, 5691696]
[paragraph, [279.0, 3243.0, 1314.0, 52.5], 6ouMvApUi-, 5691696]
