[630, 810]
[section-title, [290.0, 45.0, 241.0, 30.0], TPJyWpzrsU, 5656411]
[section-title, [547.0, 46.0, 234.0, 30.0], DUVt4i7NNn, 5656411]
[section-title, [547.0, 76.0, 234.0, 30.0], DUVt4i7NNn, 5656411]
[paragraph, [25.0, 71.0, 150.0, 18.0], rfC17Ha9GH, 5656411]
[paragraph, [25.0, 89.0, 150.0, 18.0], rfC17Ha9GH, 5656411]
[paragraph, [25.0, 107.0, 150.0, 18.0], rfC17Ha9GH, 5656411]
[paragraph, [25.0, 125.0, 150.0, 18.0], rfC17Ha9GH, 5656411]
[paragraph, [25.0, 143.0, 150.0, 18.0], rfC17Ha9GH, 5656411]
[unordered-list, [549.0, 106.0, 211.0, 18.0], AS7pn3E0zy, 5656411]
[unordered-list, [549.0, 124.0, 211.0, 18.0], AS7pn3E0zy, 5656411]
[unordered-list, [549.0, 142.0, 211.0, 18.0], AS7pn3E0zy, 5656411]
[paragraph, [285.0, 134.0, 245.0, 18.0], PKzCZhCsAS, 5656411]
[paragraph, [285.0, 152.0, 245.0, 18.0], PKzCZhCsAS, 5656411]
[paragraph, [285.0, 170.0, 245.0, 18.0], PKzCZhCsAS, 5656411]
[paragraph, [19.0, 165.0, 238.0, 18.0], JoKB98ovz8, 5656411]
[paragraph, [19.0, 183.0, 238.0, 18.0], JoKB98ovz8, 5656411]
[paragraph, [545.0, 177.0, 226.0, 18.0], bhV8vfmLpw, 5656411]
[paragraph, [545.0, 195.0, 226.0, 18.0], bhV8vfmLpw, 5656411]
[paragraph, [545.0, 213.0, 226.0, 18.0], bhV8vfmLpw, 5656411]
[subsub-section-title, [288.0, 198.0, 118.0, 15.0], 1MLeSbSpeV, 5656411]
[paragraph, [290.0, 214.0, 238.0, 18.0], tSQnMFpPTF, 5656411]
[paragraph, [290.0, 232.0, 238.0, 18.0], tSQnMFpPTF, 5656411]
[section-title, [22.0, 232.0, 223.0, 30.0], --IL-Lh8fc, 5656411]
[paragraph, [547.0, 240.0, 236.0, 18.0], 8-nabInjU1, 5656411]
[paragraph, [547.0, 258.0, 236.0, 18.0], 8-nabInjU1, 5656411]
[paragraph, [288.0, 271.0, 236.0, 18.0], B9QQwzdwbv, 5656411]
[paragraph, [288.0, 289.0, 236.0, 18.0], B9QQwzdwbv, 5656411]
[paragraph, [288.0, 307.0, 236.0, 18.0], B9QQwzdwbv, 5656411]
[paragraph, [288.0, 325.0, 236.0, 18.0], B9QQwzdwbv, 5656411]
[paragraph, [23.0, 276.0, 228.0, 18.0], A4D8pMBNOs, 5656411]
[paragraph, [23.0, 294.0, 228.0, 18.0], A4D8pMBNOs, 5656411]
[paragraph, [23.0, 312.0, 228.0, 18.0], A4D8pMBNOs, 5656411]
[paragraph, [23.0, 330.0, 228.0, 18.0], A4D8pMBNOs, 5656411]
[paragraph, [290.0, 368.0, 234.0, 18.0], _p73l-yw_S, 5656411]
[paragraph, [290.0, 386.0, 234.0, 18.0], _p73l-yw_S, 5656411]
[paragraph, [290.0, 404.0, 234.0, 18.0], _p73l-yw_S, 5656411]
[paragraph, [23.0, 389.0, 236.0, 18.0], jruXwYrCYh, 5656411]
[paragraph, [23.0, 407.0, 236.0, 18.0], jruXwYrCYh, 5656411]
[paragraph, [23.0, 425.0, 236.0, 18.0], jruXwYrCYh, 5656411]
[paragraph, [23.0, 443.0, 236.0, 18.0], jruXwYrCYh, 5656411]
[paragraph, [23.0, 461.0, 236.0, 18.0], jruXwYrCYh, 5656411]
[paragraph, [285.0, 448.0, 243.0, 18.0], _mgd-IFMvC, 5656411]
[paragraph, [285.0, 466.0, 243.0, 18.0], _mgd-IFMvC, 5656411]
[paragraph, [285.0, 484.0, 243.0, 18.0], _mgd-IFMvC, 5656411]
[paragraph, [285.0, 502.0, 243.0, 18.0], _mgd-IFMvC, 5656411]
[paragraph, [547.0, 484.0, 236.0, 18.0], B10DwS2DbC, 5656411]
[paragraph, [547.0, 502.0, 236.0, 18.0], B10DwS2DbC, 5656411]
[paragraph, [547.0, 520.0, 236.0, 18.0], B10DwS2DbC, 5656411]
[paragraph, [547.0, 538.0, 236.0, 18.0], B10DwS2DbC, 5656411]
[paragraph, [547.0, 556.0, 236.0, 18.0], B10DwS2DbC, 5656411]
[unordered-list, [26.0, 504.0, 109.0, 18.0], 3USslzkvWw, 5656411]
[unordered-list, [26.0, 522.0, 109.0, 18.0], 3USslzkvWw, 5656411]
[unordered-list, [26.0, 540.0, 109.0, 18.0], 3USslzkvWw, 5656411]
[subsub-section-title, [288.0, 524.0, 105.0, 15.0], cdgD_sUOwI, 5656411]
[paragraph, [288.0, 538.0, 236.0, 18.0], Whi-ztbVw0, 5656411]
[paragraph, [288.0, 556.0, 236.0, 18.0], Whi-ztbVw0, 5656411]
[paragraph, [288.0, 574.0, 236.0, 18.0], Whi-ztbVw0, 5656411]
[paragraph, [22.0, 569.0, 208.0, 18.0], 2mM_gwJ-Kf, 5656411]
[paragraph, [546.0, 588.0, 214.0, 18.0], quP3YuaknA, 5656411]
