[792, 524]
[folio, [366.0, 130.0, 93.0, 18.0], mE255RtbQB, 6513557]
[paragraph, [29.0, 178.0, 427.0, 18.0], shoonya_0sDBTJFMXNA3MZ, 6513557]
[paragraph, [29.0, 196.0, 427.0, 18.0], shoonya_0sDBTJFMXNA3MZ, 6513557]
[paragraph, [29.0, 214.0, 427.0, 18.0], shoonya_0sDBTJFMXNA3MZ, 6513557]
[paragraph, [29.0, 232.0, 427.0, 18.0], shoonya_0sDBTJFMXNA3MZ, 6513557]
[paragraph, [29.0, 250.0, 427.0, 18.0], shoonya_0sDBTJFMXNA3MZ, 6513557]
[paragraph, [29.0, 268.0, 427.0, 18.0], shoonya_0sDBTJFMXNA3MZ, 6513557]
[paragraph, [29.0, 286.0, 427.0, 18.0], shoonya_0sDBTJFMXNA3MZ, 6513557]
[paragraph, [29.0, 304.0, 427.0, 18.0], shoonya_0sDBTJFMXNA3MZ, 6513557]
[paragraph, [29.0, 322.0, 427.0, 18.0], shoonya_0sDBTJFMXNA3MZ, 6513557]
[paragraph, [29.0, 340.0, 427.0, 18.0], shoonya_0sDBTJFMXNA3MZ, 6513557]
[paragraph, [34.0, 362.0, 428.0, 18.0], z-uQSkNOkb, 6513557]
[paragraph, [34.0, 380.0, 428.0, 18.0], z-uQSkNOkb, 6513557]
[paragraph, [34.0, 398.0, 428.0, 18.0], z-uQSkNOkb, 6513557]
[paragraph, [34.0, 416.0, 428.0, 18.0], z-uQSkNOkb, 6513557]
[paragraph, [34.0, 434.0, 428.0, 18.0], z-uQSkNOkb, 6513557]
[paragraph, [34.0, 452.0, 428.0, 18.0], z-uQSkNOkb, 6513557]
[paragraph, [34.0, 470.0, 428.0, 18.0], z-uQSkNOkb, 6513557]
[paragraph, [37.0, 498.0, 423.0, 18.0], Vf29R13Mbw, 6513557]
[paragraph, [37.0, 516.0, 423.0, 18.0], Vf29R13Mbw, 6513557]
[paragraph, [37.0, 534.0, 423.0, 18.0], Vf29R13Mbw, 6513557]
[paragraph, [37.0, 552.0, 423.0, 18.0], Vf29R13Mbw, 6513557]
[paragraph, [37.0, 570.0, 423.0, 18.0], Vf29R13Mbw, 6513557]
[paragraph, [37.0, 588.0, 423.0, 18.0], Vf29R13Mbw, 6513557]
[paragraph, [37.0, 606.0, 423.0, 18.0], Vf29R13Mbw, 6513557]
[reference, [36.0, 630.0, 428.0, 18.0], 9khvWlleMi, 6513557]
[reference, [36.0, 648.0, 428.0, 18.0], 9khvWlleMi, 6513557]
[reference, [36.0, 666.0, 428.0, 18.0], 9khvWlleMi, 6513557]
[reference, [36.0, 684.0, 428.0, 18.0], 9khvWlleMi, 6513557]
[reference, [36.0, 702.0, 428.0, 18.0], 9khvWlleMi, 6513557]
