[1650, 1000]
[paragraph, [63.0, 76.0, 867.0, 36.0], shoonya_1sVICL2XJDB5C2, 5732626]
[paragraph, [63.0, 112.0, 867.0, 36.0], shoonya_1sVICL2XJDB5C2, 5732626]
[paragraph, [63.0, 148.0, 867.0, 36.0], shoonya_1sVICL2XJDB5C2, 5732626]
[paragraph, [63.0, 184.0, 867.0, 36.0], shoonya_1sVICL2XJDB5C2, 5732626]
[paragraph, [63.0, 220.0, 867.0, 36.0], shoonya_1sVICL2XJDB5C2, 5732626]
[paragraph, [63.0, 256.0, 867.0, 36.0], shoonya_1sVICL2XJDB5C2, 5732626]
[paragraph, [63.0, 292.0, 867.0, 36.0], shoonya_1sVICL2XJDB5C2, 5732626]
[paragraph, [63.0, 328.0, 867.0, 36.0], shoonya_1sVICL2XJDB5C2, 5732626]
[paragraph, [63.0, 364.0, 867.0, 36.0], shoonya_1sVICL2XJDB5C2, 5732626]
[paragraph, [63.0, 400.0, 867.0, 36.0], shoonya_1sVICL2XJDB5C2, 5732626]
[paragraph, [63.0, 436.0, 867.0, 36.0], shoonya_1sVICL2XJDB5C2, 5732626]
[paragraph, [63.0, 472.0, 867.0, 36.0], shoonya_1sVICL2XJDB5C2, 5732626]
[section-title, [395.0, 551.0, 193.0, 49.5], shoonya_3sX37T234XPJZV, 5732626]
[paragraph, [59.0, 606.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 642.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 678.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 714.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 750.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 786.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 822.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 858.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 894.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 930.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 966.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 1002.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 1038.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 1074.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 1110.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 1146.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [59.0, 1182.0, 855.0, 36.0], shoonya_0sGJ91G8HGDE9Q, 5732626]
[paragraph, [116.0, 1260.0, 776.0, 36.0], shoonya_5sKZU5FFMLBMM9, 5732626]
[paragraph, [57.0, 1306.0, 857.0, 36.0], shoonya_4sG305YXTGXK8X, 5732626]
[paragraph, [57.0, 1342.0, 857.0, 36.0], shoonya_4sG305YXTGXK8X, 5732626]
[paragraph, [57.0, 1378.0, 857.0, 36.0], shoonya_4sG305YXTGXK8X, 5732626]
[paragraph, [57.0, 1414.0, 857.0, 36.0], shoonya_4sG305YXTGXK8X, 5732626]
[paragraph, [57.0, 1450.0, 857.0, 36.0], shoonya_4sG305YXTGXK8X, 5732626]
