[671, 419]
[folio, [168.0, 11.0, 91.0, 18.0], shoonya_0sKGEQFSFD4OQS, 5749073]
[paragraph, [15.0, 47.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 65.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 83.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 101.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 119.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 137.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 155.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 173.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 191.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 209.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 227.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 245.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 263.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 281.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 299.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 317.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 335.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 353.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 371.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 389.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 407.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 425.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 443.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 461.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 479.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 497.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 515.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [15.0, 533.0, 390.0, 18.0], G_TfncfN1y, 5749073]
[paragraph, [17.0, 559.0, 387.0, 18.0], mkf3ug3t-d, 5749073]
[paragraph, [17.0, 577.0, 387.0, 18.0], mkf3ug3t-d, 5749073]
[paragraph, [17.0, 595.0, 387.0, 18.0], mkf3ug3t-d, 5749073]
[paragraph, [17.0, 613.0, 387.0, 18.0], mkf3ug3t-d, 5749073]
[paragraph, [17.0, 631.0, 387.0, 18.0], mkf3ug3t-d, 5749073]
