[1638, 1048]
[section-title, [480.0, 155.0, 91.0, 49.5], 46gQapcpm5, 5681014]
[paragraph, [107.0, 260.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [107.0, 296.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [107.0, 332.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [107.0, 368.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [107.0, 404.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [107.0, 440.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [107.0, 476.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [107.0, 512.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [107.0, 548.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [107.0, 584.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [107.0, 620.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [107.0, 656.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [107.0, 692.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [107.0, 728.0, 835.0, 36.0], shoonya_1sVJQTUWV28F77, 5681014]
[paragraph, [104.0, 770.0, 836.0, 36.0], shoonya_3sCHTZTUEB16S3, 5681014]
[paragraph, [104.0, 806.0, 836.0, 36.0], shoonya_3sCHTZTUEB16S3, 5681014]
[paragraph, [104.0, 842.0, 836.0, 36.0], shoonya_3sCHTZTUEB16S3, 5681014]
[paragraph, [104.0, 878.0, 836.0, 36.0], shoonya_3sCHTZTUEB16S3, 5681014]
[paragraph, [108.0, 943.0, 832.0, 36.0], shoonya_2s8QRVGOKCZ4KO, 5681014]
[paragraph, [108.0, 979.0, 832.0, 36.0], shoonya_2s8QRVGOKCZ4KO, 5681014]
[paragraph, [108.0, 1015.0, 832.0, 36.0], shoonya_2s8QRVGOKCZ4KO, 5681014]
[paragraph, [108.0, 1051.0, 832.0, 36.0], shoonya_2s8QRVGOKCZ4KO, 5681014]
[paragraph, [105.0, 1114.0, 839.0, 36.0], shoonya_0s808G7I9228MK, 5681014]
[paragraph, [105.0, 1150.0, 839.0, 36.0], shoonya_0s808G7I9228MK, 5681014]
[paragraph, [105.0, 1186.0, 839.0, 36.0], shoonya_0s808G7I9228MK, 5681014]
[paragraph, [105.0, 1222.0, 839.0, 36.0], shoonya_0s808G7I9228MK, 5681014]
[paragraph, [100.0, 1285.0, 842.0, 36.0], isomBjl38y, 5681014]
[paragraph, [100.0, 1321.0, 842.0, 36.0], isomBjl38y, 5681014]
[paragraph, [100.0, 1357.0, 842.0, 36.0], isomBjl38y, 5681014]
[paragraph, [98.0, 1414.0, 847.0, 36.0], PiCV4FtW5U, 5681014]
[paragraph, [98.0, 1450.0, 847.0, 36.0], PiCV4FtW5U, 5681014]
[paragraph, [98.0, 1486.0, 847.0, 36.0], PiCV4FtW5U, 5681014]
