[1125, 2000]
[unordered-list, [117.0, 142.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 160.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 178.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 196.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 214.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 232.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 250.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 268.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 286.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 304.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 322.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 340.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 358.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 376.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 394.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 412.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 430.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 448.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 466.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 484.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 502.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 520.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 538.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[unordered-list, [117.0, 556.0, 1727.0, 18.0], 4vPJb00k1E, 5744816]
[paragraph, [132.0, 611.0, 1702.0, 18.0], shoonya_1sQROLSTIW4AXB, 5744816]
[paragraph, [132.0, 629.0, 1702.0, 18.0], shoonya_1sQROLSTIW4AXB, 5744816]
[paragraph, [132.0, 647.0, 1702.0, 18.0], shoonya_1sQROLSTIW4AXB, 5744816]
[paragraph, [132.0, 665.0, 1702.0, 18.0], shoonya_1sQROLSTIW4AXB, 5744816]
[paragraph, [132.0, 683.0, 1702.0, 18.0], shoonya_1sQROLSTIW4AXB, 5744816]
[paragraph, [132.0, 701.0, 1702.0, 18.0], shoonya_1sQROLSTIW4AXB, 5744816]
[paragraph, [132.0, 719.0, 1702.0, 18.0], shoonya_1sQROLSTIW4AXB, 5744816]
[paragraph, [124.0, 738.0, 1726.0, 18.0], shoonya_0sSM71368ZNW46, 5744816]
[paragraph, [124.0, 756.0, 1726.0, 18.0], shoonya_0sSM71368ZNW46, 5744816]
[paragraph, [124.0, 774.0, 1726.0, 18.0], shoonya_0sSM71368ZNW46, 5744816]
[paragraph, [124.0, 792.0, 1726.0, 18.0], shoonya_0sSM71368ZNW46, 5744816]
[paragraph, [124.0, 810.0, 1726.0, 18.0], shoonya_0sSM71368ZNW46, 5744816]
[paragraph, [124.0, 828.0, 1726.0, 18.0], shoonya_0sSM71368ZNW46, 5744816]
[paragraph, [124.0, 846.0, 1726.0, 18.0], shoonya_0sSM71368ZNW46, 5744816]
[paragraph, [132.0, 905.0, 569.0, 18.0], fqfNMzK1kV, 5744816]
[paragraph, [132.0, 923.0, 569.0, 18.0], fqfNMzK1kV, 5744816]
[paragraph, [132.0, 941.0, 569.0, 18.0], fqfNMzK1kV, 5744816]
[paragraph, [132.0, 959.0, 569.0, 18.0], fqfNMzK1kV, 5744816]
[paragraph, [132.0, 977.0, 569.0, 18.0], fqfNMzK1kV, 5744816]
