[1425, 1088]
[section-title, [234.0, 111.0, 168.0, 30.0], KggU3-4P6e, 5759487]
[unordered-list, [155.0, 154.0, 818.0, 18.0], shoonya_7s879WH77DXJIA, 5759487]
[unordered-list, [155.0, 172.0, 818.0, 18.0], shoonya_7s879WH77DXJIA, 5759487]
[unordered-list, [155.0, 190.0, 818.0, 18.0], shoonya_7s879WH77DXJIA, 5759487]
[unordered-list, [155.0, 208.0, 818.0, 18.0], shoonya_7s879WH77DXJIA, 5759487]
[unordered-list, [155.0, 226.0, 818.0, 18.0], shoonya_7s879WH77DXJIA, 5759487]
[unordered-list, [155.0, 244.0, 818.0, 18.0], shoonya_7s879WH77DXJIA, 5759487]
[unordered-list, [155.0, 262.0, 818.0, 18.0], shoonya_7s879WH77DXJIA, 5759487]
[unordered-list, [155.0, 280.0, 818.0, 18.0], shoonya_7s879WH77DXJIA, 5759487]
[section-title, [243.0, 348.0, 307.0, 30.0], shoonya_8s45CFNQJTEJ4Q, 5759487]
[paragraph, [139.0, 405.0, 839.0, 18.0], shoonya_11s2GJCIN3T4G3, 5759487]
[paragraph, [139.0, 423.0, 839.0, 18.0], shoonya_11s2GJCIN3T4G3, 5759487]
[paragraph, [139.0, 441.0, 839.0, 18.0], shoonya_11s2GJCIN3T4G3, 5759487]
[unordered-list, [129.0, 474.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 492.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 510.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 528.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 546.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 564.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 582.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 600.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 618.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 636.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 654.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 672.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 690.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 708.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 726.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 744.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 762.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 780.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[unordered-list, [129.0, 798.0, 863.0, 18.0], shoonya_0sM1C2C2L9UN26, 5759487]
[paragraph, [138.0, 820.0, 845.0, 18.0], tr85_zMg14, 5759487]
[paragraph, [138.0, 838.0, 845.0, 18.0], tr85_zMg14, 5759487]
[paragraph, [138.0, 856.0, 845.0, 18.0], tr85_zMg14, 5759487]
[paragraph, [138.0, 874.0, 845.0, 18.0], tr85_zMg14, 5759487]
[paragraph, [138.0, 892.0, 845.0, 18.0], tr85_zMg14, 5759487]
[figure-caption, [263.0, 1288.0, 291.0, 18.0], shoonya_3sW2NTFXLES9F8, 5759487]
[figure-caption, [561.0, 1288.0, 289.0, 18.0], shoonya_5sL0H3ERRXCBMQ, 5759487]
[folio, [816.0, 1345.0, 167.0, 18.0], shoonya_10sPSILI4STLO5, 5759487]
