[1700, 2200]
[website-link, [35.0, 107.0, 327.0, 18.0], 0xdsQlmxAz, 5736032]
[website-link, [35.0, 125.0, 327.0, 18.0], 0xdsQlmxAz, 5736032]
[chapter-title, [1089.0, 130.0, 285.0, 58.5], xbMttaY9rq, 5736032]
[paragraph, [390.0, 318.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 354.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 390.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 426.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 462.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 498.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 534.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 570.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 606.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 642.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 678.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 714.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 750.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 786.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 822.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 858.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 894.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 930.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 966.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 1002.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 1038.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 1074.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 1110.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 1146.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 1182.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 1218.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 1254.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 1290.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 1326.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 1362.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 1398.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
[paragraph, [390.0, 1434.0, 1624.0, 36.0], WIO2CzoMo6, 5736032]
