[2339, 1653]
[paragraph, [387.0, 184.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 220.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 256.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 292.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 328.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 364.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 400.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 436.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 472.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 508.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 544.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 580.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 616.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 652.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 688.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 724.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 760.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 796.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 832.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 868.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 904.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 940.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 976.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 1012.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 1048.0, 1072.0, 36.0], shoonya_1sX8X6J0J4MN8H, 5734464]
[paragraph, [387.0, 1133.0, 1074.0, 36.0], shoonya_2sYX0KRM3PAOOS, 5734464]
[paragraph, [387.0, 1169.0, 1074.0, 36.0], shoonya_2sYX0KRM3PAOOS, 5734464]
[paragraph, [387.0, 1205.0, 1074.0, 36.0], shoonya_2sYX0KRM3PAOOS, 5734464]
[paragraph, [387.0, 1241.0, 1074.0, 36.0], shoonya_2sYX0KRM3PAOOS, 5734464]
[paragraph, [387.0, 1277.0, 1074.0, 36.0], shoonya_2sYX0KRM3PAOOS, 5734464]
[paragraph, [387.0, 1313.0, 1074.0, 36.0], shoonya_2sYX0KRM3PAOOS, 5734464]
[paragraph, [386.0, 1369.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1405.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1441.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1477.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1513.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1549.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1585.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1621.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1657.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1693.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1729.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1765.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1801.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1837.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1873.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1909.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1945.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 1981.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 2017.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[paragraph, [386.0, 2053.0, 1075.0, 36.0], shoonya_0sH1LPZT62HZUD, 5734464]
[folio, [1040.0, 2173.0, 345.0, 36.0], VxqhYGKAym, 5734464]
