[1425, 1088]
[section-title, [176.0, 167.0, 153.0, 30.0], kB9p65PJwO, 5759306]
[ordered-list, [163.0, 218.0, 737.0, 18.0], shoonya_1s6LMABEYVRZYA, 5759306]
[ordered-list, [163.0, 236.0, 737.0, 18.0], shoonya_1s6LMABEYVRZYA, 5759306]
[ordered-list, [163.0, 254.0, 737.0, 18.0], shoonya_1s6LMABEYVRZYA, 5759306]
[ordered-list, [163.0, 272.0, 737.0, 18.0], shoonya_1s6LMABEYVRZYA, 5759306]
[ordered-list, [163.0, 290.0, 737.0, 18.0], shoonya_1s6LMABEYVRZYA, 5759306]
[ordered-list, [163.0, 308.0, 737.0, 18.0], shoonya_1s6LMABEYVRZYA, 5759306]
[ordered-list, [163.0, 326.0, 737.0, 18.0], shoonya_1s6LMABEYVRZYA, 5759306]
[ordered-list, [163.0, 344.0, 737.0, 18.0], shoonya_1s6LMABEYVRZYA, 5759306]
[ordered-list, [163.0, 362.0, 737.0, 18.0], shoonya_1s6LMABEYVRZYA, 5759306]
[folio, [799.0, 1356.0, 153.0, 18.0], xWfCKDI1dB, 5759306]
