[1806, 1262]
[folio, [829.0, 102.0, 258.0, 36.0], shoonya_0sX35C8CWK83H6, 5681488]
[paragraph, [92.0, 178.0, 511.0, 36.0], shoonya_3sD8D83MO7J69E, 5681488]
[paragraph, [92.0, 214.0, 511.0, 36.0], shoonya_3sD8D83MO7J69E, 5681488]
[paragraph, [92.0, 250.0, 511.0, 36.0], shoonya_3sD8D83MO7J69E, 5681488]
[paragraph, [92.0, 286.0, 511.0, 36.0], shoonya_3sD8D83MO7J69E, 5681488]
[paragraph, [92.0, 322.0, 511.0, 36.0], shoonya_3sD8D83MO7J69E, 5681488]
[paragraph, [92.0, 358.0, 511.0, 36.0], shoonya_3sD8D83MO7J69E, 5681488]
[paragraph, [92.0, 394.0, 511.0, 36.0], shoonya_3sD8D83MO7J69E, 5681488]
[paragraph, [654.0, 178.0, 509.0, 36.0], lHX1juVz5M, 5681488]
[paragraph, [654.0, 214.0, 509.0, 36.0], lHX1juVz5M, 5681488]
[paragraph, [654.0, 250.0, 509.0, 36.0], lHX1juVz5M, 5681488]
[paragraph, [654.0, 286.0, 509.0, 36.0], lHX1juVz5M, 5681488]
[paragraph, [654.0, 322.0, 509.0, 36.0], lHX1juVz5M, 5681488]
[paragraph, [654.0, 358.0, 509.0, 36.0], lHX1juVz5M, 5681488]
[paragraph, [654.0, 394.0, 509.0, 36.0], lHX1juVz5M, 5681488]
[paragraph, [95.0, 439.0, 508.0, 36.0], shoonya_4s67IXOQTV9Y5N, 5681488]
[paragraph, [95.0, 475.0, 508.0, 36.0], shoonya_4s67IXOQTV9Y5N, 5681488]
[paragraph, [95.0, 511.0, 508.0, 36.0], shoonya_4s67IXOQTV9Y5N, 5681488]
[paragraph, [648.0, 455.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [648.0, 491.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [648.0, 527.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [648.0, 563.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [648.0, 599.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [648.0, 635.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [648.0, 671.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [648.0, 707.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [648.0, 743.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [648.0, 779.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [648.0, 815.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [648.0, 851.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [648.0, 887.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [648.0, 923.0, 512.0, 36.0], _f8FHqvGs3, 5681488]
[paragraph, [97.0, 587.0, 503.0, 36.0], shoonya_5sLX01DSE91WF9, 5681488]
[paragraph, [97.0, 623.0, 503.0, 36.0], shoonya_5sLX01DSE91WF9, 5681488]
[paragraph, [98.0, 693.0, 506.0, 36.0], shoonya_6s7UZ0PKYFPPMD, 5681488]
[paragraph, [98.0, 729.0, 506.0, 36.0], shoonya_6s7UZ0PKYFPPMD, 5681488]
