[1275, 750]
[folio, [228.0, 85.0, 297.0, 18.0], B-eSSHHEog, 5767503]
[folio, [228.0, 103.0, 297.0, 18.0], B-eSSHHEog, 5767503]
[paragraph, [57.0, 152.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 170.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 188.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 206.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 224.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 242.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 260.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 278.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 296.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 314.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 332.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 350.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 368.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 386.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 404.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 422.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 440.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 458.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 476.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 494.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 512.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 530.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 548.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 566.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 584.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 602.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 620.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 638.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 656.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 674.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 692.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 710.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 728.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 746.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 764.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 782.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 800.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 818.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 836.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 854.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 872.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 890.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 908.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 926.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 944.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 962.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 980.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 998.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 1016.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 1034.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 1052.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 1070.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 1088.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 1106.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 1124.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 1142.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
[paragraph, [57.0, 1160.0, 640.0, 18.0], shoonya_1s77KZFL7QFDX4, 5767503]
