[2339, 1653]
[paragraph, [241.0, 243.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 279.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 315.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 351.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 387.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 423.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 459.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 495.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 531.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 567.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 603.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 639.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 675.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 711.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 747.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 783.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 819.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 855.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 891.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [241.0, 927.0, 1170.0, 36.0], shoonya_1s0SQWD5OSJG92, 5685983]
[paragraph, [246.0, 979.0, 1164.0, 36.0], shoonya_3sO9W0JOOK78ZV, 5685983]
[paragraph, [246.0, 1015.0, 1164.0, 36.0], shoonya_3sO9W0JOOK78ZV, 5685983]
[paragraph, [246.0, 1051.0, 1164.0, 36.0], shoonya_3sO9W0JOOK78ZV, 5685983]
[paragraph, [246.0, 1087.0, 1164.0, 36.0], shoonya_3sO9W0JOOK78ZV, 5685983]
[paragraph, [246.0, 1123.0, 1164.0, 36.0], shoonya_3sO9W0JOOK78ZV, 5685983]
[paragraph, [246.0, 1159.0, 1164.0, 36.0], shoonya_3sO9W0JOOK78ZV, 5685983]
[paragraph, [246.0, 1195.0, 1164.0, 36.0], shoonya_3sO9W0JOOK78ZV, 5685983]
[paragraph, [249.0, 1247.0, 1156.0, 36.0], shoonya_2sHL9G5PBY2UNY, 5685983]
[paragraph, [249.0, 1283.0, 1156.0, 36.0], shoonya_2sHL9G5PBY2UNY, 5685983]
[paragraph, [249.0, 1319.0, 1156.0, 36.0], shoonya_2sHL9G5PBY2UNY, 5685983]
[paragraph, [249.0, 1355.0, 1156.0, 36.0], shoonya_2sHL9G5PBY2UNY, 5685983]
[paragraph, [249.0, 1391.0, 1156.0, 36.0], shoonya_2sHL9G5PBY2UNY, 5685983]
[paragraph, [249.0, 1427.0, 1156.0, 36.0], shoonya_2sHL9G5PBY2UNY, 5685983]
[paragraph, [497.0, 1512.0, 907.0, 36.0], 3lFNYc1ASc, 5685983]
[paragraph, [241.0, 1580.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
[paragraph, [241.0, 1616.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
[paragraph, [241.0, 1652.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
[paragraph, [241.0, 1688.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
[paragraph, [241.0, 1724.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
[paragraph, [241.0, 1760.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
[paragraph, [241.0, 1796.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
[paragraph, [241.0, 1832.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
[paragraph, [241.0, 1868.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
[paragraph, [241.0, 1904.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
[paragraph, [241.0, 1940.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
[paragraph, [241.0, 1976.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
[paragraph, [241.0, 2012.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
[paragraph, [241.0, 2048.0, 1169.0, 36.0], UTUULqMk6g, 5685983]
