[1755, 1240]
[folio, [637.0, 68.0, 485.0, 36.0], 0hhZudAyoC, 5743674]
[paragraph, [197.0, 207.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 243.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 279.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 315.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 351.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 387.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 423.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 459.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 495.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 531.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 567.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 603.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 639.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 675.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 711.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [197.0, 747.0, 937.0, 36.0], shoonya_2sH6G5747LXUCT, 5743674]
[paragraph, [200.0, 882.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 918.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 954.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 990.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1026.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1062.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1098.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1134.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1170.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1206.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1242.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1278.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1314.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1350.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1386.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1422.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1458.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1494.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
[paragraph, [200.0, 1530.0, 928.0, 36.0], shoonya_1sGIG83EJL4WEM, 5743674]
