[2339, 1653]
[paragraph, [247.0, 243.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 279.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 315.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 351.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 387.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 423.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 459.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 495.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 531.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 567.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 603.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 639.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 675.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 711.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 747.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 783.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 819.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 855.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 891.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 927.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 963.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 999.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 1035.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [247.0, 1071.0, 1154.0, 36.0], shoonya_0sCS33N9JR0C6Q, 5686489]
[paragraph, [249.0, 1151.0, 1155.0, 36.0], shoonya_1sTIH04X0JBM90, 5686489]
[paragraph, [249.0, 1187.0, 1155.0, 36.0], shoonya_1sTIH04X0JBM90, 5686489]
[paragraph, [249.0, 1223.0, 1155.0, 36.0], shoonya_1sTIH04X0JBM90, 5686489]
[paragraph, [249.0, 1259.0, 1155.0, 36.0], shoonya_1sTIH04X0JBM90, 5686489]
[paragraph, [249.0, 1295.0, 1155.0, 36.0], shoonya_1sTIH04X0JBM90, 5686489]
[paragraph, [449.0, 1352.0, 956.0, 36.0], shoonya_3sVEJCI600N3KL, 5686489]
[paragraph, [449.0, 1388.0, 956.0, 36.0], shoonya_3sVEJCI600N3KL, 5686489]
[paragraph, [449.0, 1424.0, 956.0, 36.0], shoonya_3sVEJCI600N3KL, 5686489]
[paragraph, [449.0, 1460.0, 956.0, 36.0], shoonya_3sVEJCI600N3KL, 5686489]
[paragraph, [449.0, 1496.0, 956.0, 36.0], shoonya_3sVEJCI600N3KL, 5686489]
[paragraph, [449.0, 1532.0, 956.0, 36.0], shoonya_3sVEJCI600N3KL, 5686489]
[paragraph, [449.0, 1568.0, 956.0, 36.0], shoonya_3sVEJCI600N3KL, 5686489]
[paragraph, [449.0, 1604.0, 956.0, 36.0], shoonya_3sVEJCI600N3KL, 5686489]
[paragraph, [449.0, 1640.0, 956.0, 36.0], shoonya_3sVEJCI600N3KL, 5686489]
[paragraph, [252.0, 1714.0, 1153.0, 36.0], 3gMt0qXl0i, 5686489]
[paragraph, [252.0, 1750.0, 1153.0, 36.0], 3gMt0qXl0i, 5686489]
[paragraph, [252.0, 1786.0, 1153.0, 36.0], 3gMt0qXl0i, 5686489]
[paragraph, [252.0, 1822.0, 1153.0, 36.0], 3gMt0qXl0i, 5686489]
[paragraph, [252.0, 1858.0, 1153.0, 36.0], 3gMt0qXl0i, 5686489]
[reference, [249.0, 1965.0, 323.0, 36.0], shoonya_2sQWWZMJMRZ7N9, 5686489]
[reference, [249.0, 2001.0, 323.0, 36.0], shoonya_2sQWWZMJMRZ7N9, 5686489]
[reference, [249.0, 2037.0, 323.0, 36.0], shoonya_2sQWWZMJMRZ7N9, 5686489]
[reference, [249.0, 2073.0, 323.0, 36.0], shoonya_2sQWWZMJMRZ7N9, 5686489]
