[3509, 2480]
[paragraph, [363.0, 388.0, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 440.5, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 493.0, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 545.5, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 598.0, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 650.5, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 703.0, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 755.5, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 808.0, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 860.5, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 913.0, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 965.5, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1018.0, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1070.5, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1123.0, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1175.5, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1228.0, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1280.5, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1333.0, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1385.5, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1438.0, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1490.5, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1543.0, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1595.5, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1648.0, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [363.0, 1700.5, 1751.0, 52.5], shoonya_1sO32PLQQ7PJU7, 5724537]
[paragraph, [358.0, 1851.0, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [358.0, 1903.5, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [358.0, 1956.0, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [358.0, 2008.5, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [358.0, 2061.0, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [358.0, 2113.5, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [358.0, 2166.0, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [358.0, 2218.5, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [358.0, 2271.0, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [358.0, 2323.5, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [358.0, 2376.0, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [358.0, 2428.5, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [358.0, 2481.0, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [358.0, 2533.5, 1768.0, 52.5], shoonya_3s0WPDDR4YD82L, 5724537]
[paragraph, [350.0, 2646.0, 1760.0, 52.5], shoonya_2s13L7K313DO0P, 5724537]
[paragraph, [350.0, 2698.5, 1760.0, 52.5], shoonya_2s13L7K313DO0P, 5724537]
[paragraph, [350.0, 2751.0, 1760.0, 52.5], shoonya_2s13L7K313DO0P, 5724537]
[paragraph, [350.0, 2803.5, 1760.0, 52.5], shoonya_2s13L7K313DO0P, 5724537]
[paragraph, [350.0, 2856.0, 1760.0, 52.5], shoonya_2s13L7K313DO0P, 5724537]
[paragraph, [350.0, 2908.5, 1760.0, 52.5], shoonya_2s13L7K313DO0P, 5724537]
[paragraph, [350.0, 2961.0, 1760.0, 52.5], shoonya_2s13L7K313DO0P, 5724537]
[paragraph, [350.0, 3013.5, 1760.0, 52.5], shoonya_2s13L7K313DO0P, 5724537]
