[1839, 1268]
[paragraph, [167.0, 204.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 240.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 276.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 312.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 348.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 384.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 420.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 456.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 492.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 528.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 564.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 600.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 636.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 672.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 708.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 744.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 780.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 816.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 852.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 888.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 924.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 960.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 996.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1032.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1068.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1104.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1140.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1176.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1212.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1248.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1284.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1320.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1356.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1392.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1428.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1464.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1500.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1536.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1572.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
[paragraph, [167.0, 1608.0, 948.0, 36.0], shoonya_0s5R7JZAO9VM31, 5743718]
