[2339, 1653]
[paragraph, [328.0, 163.0, 562.0, 36.0], shoonya_3s05L3AZFDH6Y9, 5734488]
[paragraph, [324.0, 218.0, 1142.0, 36.0], shoonya_1sYI1G1HKQCKW7, 5734488]
[paragraph, [324.0, 254.0, 1142.0, 36.0], shoonya_1sYI1G1HKQCKW7, 5734488]
[paragraph, [324.0, 290.0, 1142.0, 36.0], shoonya_1sYI1G1HKQCKW7, 5734488]
[paragraph, [324.0, 326.0, 1142.0, 36.0], shoonya_1sYI1G1HKQCKW7, 5734488]
[paragraph, [324.0, 362.0, 1142.0, 36.0], shoonya_1sYI1G1HKQCKW7, 5734488]
[paragraph, [324.0, 398.0, 1142.0, 36.0], shoonya_1sYI1G1HKQCKW7, 5734488]
[paragraph, [324.0, 434.0, 1142.0, 36.0], shoonya_1sYI1G1HKQCKW7, 5734488]
[paragraph, [324.0, 470.0, 1142.0, 36.0], shoonya_1sYI1G1HKQCKW7, 5734488]
[paragraph, [324.0, 506.0, 1142.0, 36.0], shoonya_1sYI1G1HKQCKW7, 5734488]
[paragraph, [324.0, 542.0, 1142.0, 36.0], shoonya_1sYI1G1HKQCKW7, 5734488]
[paragraph, [324.0, 578.0, 1142.0, 36.0], shoonya_1sYI1G1HKQCKW7, 5734488]
[paragraph, [324.0, 614.0, 1142.0, 36.0], shoonya_1sYI1G1HKQCKW7, 5734488]
[paragraph, [325.0, 671.0, 1140.0, 36.0], shoonya_2s3N05FZZ54ZFP, 5734488]
[paragraph, [325.0, 707.0, 1140.0, 36.0], shoonya_2s3N05FZZ54ZFP, 5734488]
[paragraph, [325.0, 743.0, 1140.0, 36.0], shoonya_2s3N05FZZ54ZFP, 5734488]
[paragraph, [325.0, 779.0, 1140.0, 36.0], shoonya_2s3N05FZZ54ZFP, 5734488]
[paragraph, [325.0, 815.0, 1140.0, 36.0], shoonya_2s3N05FZZ54ZFP, 5734488]
[paragraph, [325.0, 851.0, 1140.0, 36.0], shoonya_2s3N05FZZ54ZFP, 5734488]
[paragraph, [325.0, 887.0, 1140.0, 36.0], shoonya_2s3N05FZZ54ZFP, 5734488]
[paragraph, [325.0, 923.0, 1140.0, 36.0], shoonya_2s3N05FZZ54ZFP, 5734488]
[paragraph, [325.0, 959.0, 1140.0, 36.0], shoonya_2s3N05FZZ54ZFP, 5734488]
[paragraph, [325.0, 995.0, 1140.0, 36.0], shoonya_2s3N05FZZ54ZFP, 5734488]
[paragraph, [325.0, 1031.0, 1140.0, 36.0], shoonya_2s3N05FZZ54ZFP, 5734488]
[paragraph, [321.0, 1105.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1141.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1177.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1213.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1249.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1285.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1321.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1357.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1393.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1429.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1465.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1501.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1537.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1573.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1609.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1645.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1681.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1717.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1753.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1789.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1825.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1861.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1897.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1933.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 1969.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 2005.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[paragraph, [321.0, 2041.0, 1142.0, 36.0], shoonya_0sJRJZX57J338A, 5734488]
[folio, [813.0, 2153.0, 574.0, 36.0], MDj8_l3rLr, 5734488]
