[1606, 1056]
[folio, [440.0, 103.0, 160.0, 36.0], shoonya_1sIZJZ45USILFM, 5683418]
[paragraph, [96.0, 156.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 192.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 228.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 264.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 300.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 336.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 372.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 408.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 444.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 480.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 516.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 552.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 588.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 624.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 660.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [96.0, 696.0, 866.0, 36.0], shoonya_0s4AJCPWYNBLCH, 5683418]
[paragraph, [100.0, 743.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 779.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 815.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 851.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 887.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 923.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 959.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 995.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 1031.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 1067.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 1103.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 1139.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 1175.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 1211.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 1247.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 1283.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 1319.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 1355.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 1391.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 1427.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
[paragraph, [100.0, 1463.0, 859.0, 36.0], VA1N-dU1AY, 5683418]
