[2178, 1466]
[folio, [166.0, 122.0, 170.0, 36.0], TS1TVxVEp8, 5654957]
[paragraph, [155.0, 247.0, 1200.0, 36.0], aaH08dgai2, 5654957]
[paragraph, [155.0, 283.0, 1200.0, 36.0], aaH08dgai2, 5654957]
[paragraph, [155.0, 319.0, 1200.0, 36.0], aaH08dgai2, 5654957]
[paragraph, [232.0, 402.0, 602.0, 36.0], ac1o6pH_GX, 5654957]
[paragraph, [232.0, 438.0, 602.0, 36.0], ac1o6pH_GX, 5654957]
[paragraph, [232.0, 474.0, 602.0, 36.0], ac1o6pH_GX, 5654957]
[paragraph, [163.0, 548.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 584.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 620.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 656.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 692.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 728.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 764.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 800.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 836.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 872.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 908.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 944.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 980.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 1016.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [163.0, 1052.0, 1188.0, 36.0], shoonya_0s67UK74FNT7HQ, 5654957]
[paragraph, [162.0, 1129.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[paragraph, [162.0, 1165.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[paragraph, [162.0, 1201.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[paragraph, [162.0, 1237.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[paragraph, [162.0, 1273.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[paragraph, [162.0, 1309.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[paragraph, [162.0, 1345.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[paragraph, [162.0, 1381.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[paragraph, [162.0, 1417.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[paragraph, [162.0, 1453.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[paragraph, [162.0, 1489.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[paragraph, [162.0, 1525.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[paragraph, [162.0, 1561.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[paragraph, [162.0, 1597.0, 1197.0, 36.0], shoonya_1s7VNGOIOZ76BB, 5654957]
[section-title, [166.0, 1687.0, 424.0, 52.5], shoonya_4s2D3Z2GNXUE2A, 5654957]
[paragraph, [165.0, 1796.0, 1203.0, 36.0], shoonya_6sT5TLA9BLZPT4, 5654957]
[paragraph, [165.0, 1832.0, 1203.0, 36.0], shoonya_6sT5TLA9BLZPT4, 5654957]
[paragraph, [165.0, 1868.0, 1203.0, 36.0], shoonya_6sT5TLA9BLZPT4, 5654957]
[paragraph, [165.0, 1904.0, 1203.0, 36.0], shoonya_6sT5TLA9BLZPT4, 5654957]
[reference, [173.0, 1982.0, 720.0, 36.0], shoonya_3s7OMXGNVT63F9, 5654957]
