[792, 612]
[folio, [211.0, 25.0, 227.0, 18.0], aXxlaPP_PD, 5744174]
[paragraph, [114.0, 57.0, 426.0, 18.0], shoonya_0sB9ILF52NYXA1, 5744174]
[paragraph, [114.0, 75.0, 426.0, 18.0], shoonya_0sB9ILF52NYXA1, 5744174]
[paragraph, [114.0, 93.0, 426.0, 18.0], shoonya_0sB9ILF52NYXA1, 5744174]
[paragraph, [114.0, 111.0, 426.0, 18.0], shoonya_0sB9ILF52NYXA1, 5744174]
[paragraph, [114.0, 129.0, 426.0, 18.0], shoonya_0sB9ILF52NYXA1, 5744174]
[paragraph, [114.0, 147.0, 426.0, 18.0], shoonya_0sB9ILF52NYXA1, 5744174]
[paragraph, [114.0, 165.0, 426.0, 18.0], shoonya_0sB9ILF52NYXA1, 5744174]
[paragraph, [114.0, 183.0, 426.0, 18.0], shoonya_0sB9ILF52NYXA1, 5744174]
[paragraph, [114.0, 201.0, 426.0, 18.0], shoonya_0sB9ILF52NYXA1, 5744174]
[paragraph, [114.0, 219.0, 426.0, 18.0], shoonya_0sB9ILF52NYXA1, 5744174]
[paragraph, [114.0, 237.0, 426.0, 18.0], shoonya_0sB9ILF52NYXA1, 5744174]
[paragraph, [124.0, 268.0, 420.0, 18.0], JJBFaSGyLP, 5744174]
[paragraph, [124.0, 286.0, 420.0, 18.0], JJBFaSGyLP, 5744174]
[paragraph, [124.0, 304.0, 420.0, 18.0], JJBFaSGyLP, 5744174]
[paragraph, [124.0, 322.0, 420.0, 18.0], JJBFaSGyLP, 5744174]
[paragraph, [124.0, 340.0, 420.0, 18.0], JJBFaSGyLP, 5744174]
[paragraph, [124.0, 358.0, 420.0, 18.0], JJBFaSGyLP, 5744174]
[paragraph, [146.0, 399.0, 335.0, 18.0], 1nYytqDx2S, 5744174]
[paragraph, [126.0, 435.0, 409.0, 18.0], 6guyuZsx4q, 5744174]
[paragraph, [126.0, 453.0, 409.0, 18.0], 6guyuZsx4q, 5744174]
[paragraph, [126.0, 471.0, 409.0, 18.0], 6guyuZsx4q, 5744174]
[paragraph, [106.0, 499.0, 432.0, 18.0], tNNEqx0sGX, 5744174]
[paragraph, [106.0, 517.0, 432.0, 18.0], tNNEqx0sGX, 5744174]
[paragraph, [106.0, 535.0, 432.0, 18.0], tNNEqx0sGX, 5744174]
[paragraph, [106.0, 553.0, 432.0, 18.0], tNNEqx0sGX, 5744174]
[paragraph, [106.0, 571.0, 432.0, 18.0], tNNEqx0sGX, 5744174]
[paragraph, [106.0, 589.0, 432.0, 18.0], tNNEqx0sGX, 5744174]
[paragraph, [106.0, 607.0, 432.0, 18.0], tNNEqx0sGX, 5744174]
[paragraph, [106.0, 625.0, 432.0, 18.0], tNNEqx0sGX, 5744174]
[paragraph, [106.0, 643.0, 432.0, 18.0], tNNEqx0sGX, 5744174]
[paragraph, [106.0, 661.0, 432.0, 18.0], tNNEqx0sGX, 5744174]
[paragraph, [106.0, 679.0, 432.0, 18.0], tNNEqx0sGX, 5744174]
[paragraph, [106.0, 697.0, 432.0, 18.0], tNNEqx0sGX, 5744174]
[paragraph, [106.0, 715.0, 432.0, 18.0], tNNEqx0sGX, 5744174]
