[3835, 2318]
[figure-caption, [150.0, 1353.0, 2025.0, 52.5], ZY86ehriMd, 5720055]
[figure-caption, [150.0, 1405.5, 2025.0, 52.5], ZY86ehriMd, 5720055]
[ordered-list, [42.0, 1542.0, 2232.0, 52.5], shoonya_0sOUKV4HJDBWJD, 5720055]
[ordered-list, [42.0, 1594.5, 2232.0, 52.5], shoonya_0sOUKV4HJDBWJD, 5720055]
[ordered-list, [42.0, 1647.0, 2232.0, 52.5], shoonya_0sOUKV4HJDBWJD, 5720055]
[ordered-list, [42.0, 1699.5, 2232.0, 52.5], shoonya_0sOUKV4HJDBWJD, 5720055]
[ordered-list, [42.0, 1752.0, 2232.0, 52.5], shoonya_0sOUKV4HJDBWJD, 5720055]
[ordered-list, [42.0, 1804.5, 2232.0, 52.5], shoonya_0sOUKV4HJDBWJD, 5720055]
[ordered-list, [42.0, 1857.0, 2232.0, 52.5], shoonya_0sOUKV4HJDBWJD, 5720055]
[ordered-list, [42.0, 1909.5, 2232.0, 52.5], shoonya_0sOUKV4HJDBWJD, 5720055]
[paragraph, [58.0, 2037.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2089.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2142.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2194.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2247.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2299.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2352.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2404.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2457.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2509.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2562.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2614.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2667.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2719.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2772.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2824.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2877.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2929.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 2982.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 3034.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 3087.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 3139.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 3192.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 3244.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 3297.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 3349.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 3402.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 3454.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 3507.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 3559.5, 2225.0, 52.5], y-ho09kYwE, 5720055]
[paragraph, [58.0, 3612.0, 2225.0, 52.5], y-ho09kYwE, 5720055]
