[1282, 898]
[chapter-title, [415.0, 45.0, 180.0, 30.0], shoonya_21sBODXTF9CZKB, 5775862]
[paragraph, [188.0, 84.0, 642.0, 18.0], shoonya_5sT8MNS2VJNYYW, 5775862]
[paragraph, [196.0, 108.0, 637.0, 18.0], 2UxxivdDby, 5775862]
[paragraph, [206.0, 136.0, 624.0, 18.0], BI3rssqB57, 5775862]
[paragraph, [206.0, 154.0, 624.0, 18.0], BI3rssqB57, 5775862]
[paragraph, [195.0, 183.0, 639.0, 18.0], shoonya_13s9LUJMGBU9CP, 5775862]
[paragraph, [195.0, 201.0, 639.0, 18.0], shoonya_13s9LUJMGBU9CP, 5775862]
[paragraph, [195.0, 219.0, 639.0, 18.0], shoonya_13s9LUJMGBU9CP, 5775862]
[paragraph, [188.0, 234.0, 631.0, 18.0], eP7dOKQwUd, 5775862]
[paragraph, [188.0, 252.0, 631.0, 18.0], eP7dOKQwUd, 5775862]
[paragraph, [188.0, 270.0, 631.0, 18.0], eP7dOKQwUd, 5775862]
[paragraph, [188.0, 288.0, 631.0, 18.0], eP7dOKQwUd, 5775862]
[paragraph, [206.0, 312.0, 397.0, 18.0], shoonya_6sP4WPYHZ12KT9, 5775862]
[paragraph, [213.0, 336.0, 604.0, 18.0], shoonya_22s0RO9PYHG557, 5775862]
[paragraph, [212.0, 362.0, 457.0, 18.0], shoonya_12sC8L80KQDASA, 5775862]
[paragraph, [214.0, 387.0, 364.0, 18.0], shoonya_3s0J8TG65I641U, 5775862]
[paragraph, [213.0, 412.0, 266.0, 18.0], shoonya_2sI36VLOLMRR6M, 5775862]
[paragraph, [189.0, 436.0, 633.0, 18.0], shoonya_1s20HNSRXHN8RV, 5775862]
[paragraph, [189.0, 454.0, 633.0, 18.0], shoonya_1s20HNSRXHN8RV, 5775862]
[paragraph, [189.0, 472.0, 633.0, 18.0], shoonya_1s20HNSRXHN8RV, 5775862]
[paragraph, [189.0, 490.0, 633.0, 18.0], shoonya_1s20HNSRXHN8RV, 5775862]
[paragraph, [215.0, 512.0, 486.0, 18.0], shoonya_10sJCOVVMX25Y1, 5775862]
[paragraph, [190.0, 539.0, 632.0, 18.0], shoonya_0sIA5EBCSPIQVE, 5775862]
[paragraph, [190.0, 557.0, 632.0, 18.0], shoonya_0sIA5EBCSPIQVE, 5775862]
[paragraph, [190.0, 575.0, 632.0, 18.0], shoonya_0sIA5EBCSPIQVE, 5775862]
[paragraph, [190.0, 593.0, 632.0, 18.0], shoonya_0sIA5EBCSPIQVE, 5775862]
[paragraph, [212.0, 613.0, 369.0, 18.0], shoonya_7sYDZFMWOE31JA, 5775862]
[paragraph, [191.0, 639.0, 632.0, 18.0], shoonya_4s2MX1XY80AM2B, 5775862]
[paragraph, [191.0, 657.0, 632.0, 18.0], shoonya_4s2MX1XY80AM2B, 5775862]
[paragraph, [191.0, 675.0, 632.0, 18.0], shoonya_4s2MX1XY80AM2B, 5775862]
[paragraph, [191.0, 693.0, 632.0, 18.0], shoonya_4s2MX1XY80AM2B, 5775862]
[paragraph, [211.0, 714.0, 318.0, 18.0], shoonya_8sENYT55CL3SW1, 5775862]
[paragraph, [191.0, 738.0, 632.0, 18.0], shoonya_20s1U7MPO0DUR5, 5775862]
[paragraph, [191.0, 756.0, 632.0, 18.0], shoonya_20s1U7MPO0DUR5, 5775862]
[paragraph, [191.0, 774.0, 632.0, 18.0], shoonya_20s1U7MPO0DUR5, 5775862]
[paragraph, [191.0, 788.0, 635.0, 18.0], eJV972b_g4, 5775862]
[paragraph, [191.0, 806.0, 635.0, 18.0], eJV972b_g4, 5775862]
[paragraph, [191.0, 824.0, 635.0, 18.0], eJV972b_g4, 5775862]
[paragraph, [193.0, 840.0, 630.0, 18.0], shoonya_19sY3KUQ336URW, 5775862]
[paragraph, [193.0, 858.0, 630.0, 18.0], shoonya_19sY3KUQ336URW, 5775862]
[paragraph, [193.0, 876.0, 630.0, 18.0], shoonya_19sY3KUQ336URW, 5775862]
[paragraph, [214.0, 892.0, 210.0, 18.0], shoonya_18sYD4Y6GRNJQU, 5775862]
[paragraph, [219.0, 916.0, 482.0, 18.0], shoonya_17sH892RH69OHY, 5775862]
[paragraph, [195.0, 942.0, 629.0, 18.0], shoonya_14sDHV7O898GUI, 5775862]
[paragraph, [195.0, 960.0, 629.0, 18.0], shoonya_14sDHV7O898GUI, 5775862]
[paragraph, [195.0, 978.0, 629.0, 18.0], shoonya_14sDHV7O898GUI, 5775862]
[paragraph, [195.0, 996.0, 629.0, 18.0], shoonya_14sDHV7O898GUI, 5775862]
[paragraph, [218.0, 1017.0, 482.0, 18.0], shoonya_11sB2U58URDRYA, 5775862]
[paragraph, [219.0, 1041.0, 545.0, 18.0], shoonya_16sPCIM4VPUAFH, 5775862]
[paragraph, [198.0, 1067.0, 626.0, 18.0], shoonya_15sREACW7MMCM2, 5775862]
[paragraph, [198.0, 1085.0, 626.0, 18.0], shoonya_15sREACW7MMCM2, 5775862]
