[872, 605]
[section-title, [266.0, 33.0, 70.0, 30.0], Fe_b2by5u7, 6457182]
[folio, [452.0, 36.0, 96.0, 18.0], ak2Pzp92U0, 6457182]
[paragraph, [316.0, 75.0, 181.0, 18.0], ffJuCIyZLf, 6457182]
[paragraph, [52.0, 78.0, 246.0, 18.0], shoonya_0sQEDDL5KWRGDV, 6457182]
[paragraph, [52.0, 96.0, 246.0, 18.0], shoonya_0sQEDDL5KWRGDV, 6457182]
[paragraph, [309.0, 95.0, 239.0, 18.0], IHTQPAQnKK, 6457182]
[paragraph, [301.0, 113.0, 250.0, 18.0], 4H_po5K-Eq, 6457182]
[paragraph, [301.0, 131.0, 250.0, 18.0], 4H_po5K-Eq, 6457182]
[paragraph, [301.0, 149.0, 250.0, 18.0], 4H_po5K-Eq, 6457182]
[paragraph, [301.0, 167.0, 250.0, 18.0], 4H_po5K-Eq, 6457182]
[paragraph, [301.0, 185.0, 250.0, 18.0], 4H_po5K-Eq, 6457182]
[paragraph, [301.0, 203.0, 250.0, 18.0], 4H_po5K-Eq, 6457182]
[paragraph, [301.0, 221.0, 250.0, 18.0], 4H_po5K-Eq, 6457182]
[paragraph, [301.0, 239.0, 250.0, 18.0], 4H_po5K-Eq, 6457182]
[paragraph, [301.0, 257.0, 250.0, 18.0], 4H_po5K-Eq, 6457182]
[paragraph, [301.0, 275.0, 250.0, 18.0], 4H_po5K-Eq, 6457182]
[paragraph, [301.0, 293.0, 250.0, 18.0], 4H_po5K-Eq, 6457182]
[paragraph, [301.0, 311.0, 250.0, 18.0], 4H_po5K-Eq, 6457182]
[paragraph, [301.0, 329.0, 250.0, 18.0], 4H_po5K-Eq, 6457182]
[paragraph, [51.0, 114.0, 249.0, 18.0], oiHt4ui_vU, 6457182]
[paragraph, [51.0, 132.0, 249.0, 18.0], oiHt4ui_vU, 6457182]
[paragraph, [52.0, 154.0, 247.0, 18.0], ylo2STWxke, 6457182]
[paragraph, [52.0, 172.0, 247.0, 18.0], ylo2STWxke, 6457182]
[paragraph, [52.0, 190.0, 247.0, 18.0], ylo2STWxke, 6457182]
[paragraph, [51.0, 208.0, 248.0, 18.0], 22hLazkNDY, 6457182]
[paragraph, [51.0, 226.0, 248.0, 18.0], 22hLazkNDY, 6457182]
[paragraph, [50.0, 260.0, 249.0, 18.0], e06BnEudar, 6457182]
[paragraph, [50.0, 278.0, 249.0, 18.0], e06BnEudar, 6457182]
[paragraph, [50.0, 303.0, 253.0, 18.0], 9OJfCA-cVW, 6457182]
[paragraph, [50.0, 321.0, 253.0, 18.0], 9OJfCA-cVW, 6457182]
[paragraph, [50.0, 336.0, 251.0, 18.0], VC5alrGD6l, 6457182]
[paragraph, [50.0, 354.0, 251.0, 18.0], VC5alrGD6l, 6457182]
[paragraph, [50.0, 372.0, 251.0, 18.0], VC5alrGD6l, 6457182]
[paragraph, [50.0, 390.0, 251.0, 18.0], VC5alrGD6l, 6457182]
[paragraph, [50.0, 408.0, 251.0, 18.0], VC5alrGD6l, 6457182]
[paragraph, [50.0, 426.0, 251.0, 18.0], VC5alrGD6l, 6457182]
[paragraph, [50.0, 444.0, 251.0, 18.0], VC5alrGD6l, 6457182]
[paragraph, [50.0, 462.0, 251.0, 18.0], VC5alrGD6l, 6457182]
[paragraph, [300.0, 357.0, 225.0, 18.0], 01uKtmi4z0, 6457182]
[paragraph, [301.0, 374.0, 247.0, 18.0], jOgySnQe-s, 6457182]
[paragraph, [301.0, 392.0, 247.0, 18.0], jOgySnQe-s, 6457182]
[paragraph, [303.0, 411.0, 223.0, 18.0], ysOzKaQn9q, 6457182]
[paragraph, [301.0, 431.0, 249.0, 18.0], pYcKLsW8Qq, 6457182]
[paragraph, [301.0, 449.0, 249.0, 18.0], pYcKLsW8Qq, 6457182]
[paragraph, [301.0, 467.0, 249.0, 18.0], pYcKLsW8Qq, 6457182]
[paragraph, [301.0, 485.0, 249.0, 18.0], pYcKLsW8Qq, 6457182]
[paragraph, [51.0, 492.0, 220.0, 18.0], bU_PCkj3ky, 6457182]
[paragraph, [303.0, 502.0, 250.0, 18.0], OoT7N1onL_, 6457182]
[paragraph, [303.0, 520.0, 250.0, 18.0], OoT7N1onL_, 6457182]
[paragraph, [51.0, 512.0, 76.0, 18.0], X-8At4Tp0z, 6457182]
[paragraph, [54.0, 530.0, 249.0, 18.0], b_TiZ-H30E, 6457182]
[paragraph, [54.0, 548.0, 249.0, 18.0], b_TiZ-H30E, 6457182]
