[690, 512]
[folio, [199.0, 42.0, 95.0, 18.0], shoonya_0sGBH2SY1O3PA0, 6490796]
[paragraph, [250.0, 65.0, 234.0, 18.0], F_SlmlqBqW, 6490796]
[paragraph, [250.0, 83.0, 234.0, 18.0], F_SlmlqBqW, 6490796]
[paragraph, [250.0, 101.0, 234.0, 18.0], F_SlmlqBqW, 6490796]
[paragraph, [250.0, 119.0, 234.0, 18.0], F_SlmlqBqW, 6490796]
[paragraph, [250.0, 137.0, 234.0, 18.0], F_SlmlqBqW, 6490796]
[paragraph, [250.0, 155.0, 234.0, 18.0], F_SlmlqBqW, 6490796]
[paragraph, [250.0, 173.0, 234.0, 18.0], F_SlmlqBqW, 6490796]
[paragraph, [250.0, 191.0, 234.0, 18.0], F_SlmlqBqW, 6490796]
[paragraph, [250.0, 209.0, 234.0, 18.0], F_SlmlqBqW, 6490796]
[paragraph, [250.0, 227.0, 234.0, 18.0], F_SlmlqBqW, 6490796]
[paragraph, [250.0, 245.0, 234.0, 18.0], F_SlmlqBqW, 6490796]
[paragraph, [250.0, 263.0, 234.0, 18.0], F_SlmlqBqW, 6490796]
[paragraph, [13.0, 67.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [13.0, 85.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [13.0, 103.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [13.0, 121.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [13.0, 139.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [13.0, 157.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [13.0, 175.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [13.0, 193.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [13.0, 211.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [13.0, 229.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [13.0, 247.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [13.0, 265.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [13.0, 283.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [13.0, 301.0, 236.0, 18.0], zxfRjDFmLk, 6490796]
[paragraph, [249.0, 288.0, 231.0, 18.0], 9mRTRul1k7, 6490796]
[paragraph, [249.0, 306.0, 231.0, 18.0], 9mRTRul1k7, 6490796]
[paragraph, [249.0, 324.0, 231.0, 18.0], 9mRTRul1k7, 6490796]
[paragraph, [249.0, 342.0, 231.0, 18.0], 9mRTRul1k7, 6490796]
[paragraph, [249.0, 360.0, 231.0, 18.0], 9mRTRul1k7, 6490796]
[paragraph, [249.0, 378.0, 231.0, 18.0], 9mRTRul1k7, 6490796]
[paragraph, [11.0, 318.0, 237.0, 18.0], vl7vNAxjkP, 6490796]
[paragraph, [11.0, 336.0, 237.0, 18.0], vl7vNAxjkP, 6490796]
[paragraph, [11.0, 354.0, 237.0, 18.0], vl7vNAxjkP, 6490796]
[paragraph, [11.0, 372.0, 237.0, 18.0], vl7vNAxjkP, 6490796]
[paragraph, [11.0, 390.0, 237.0, 18.0], vl7vNAxjkP, 6490796]
