[1754, 1241]
[folio, [170.0, 75.0, 901.0, 36.0], shoonya_0sQ2VSINYQVUU7, 6477053]
[folio, [170.0, 111.0, 901.0, 36.0], shoonya_0sQ2VSINYQVUU7, 6477053]
[folio, [343.0, 171.0, 545.0, 36.0], UaT5i1_lCt, 6477053]
[folio, [343.0, 207.0, 545.0, 36.0], UaT5i1_lCt, 6477053]
[ordered-list, [133.0, 283.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 319.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 355.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 391.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 427.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 463.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 499.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 535.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 571.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 607.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 643.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 679.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 715.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 751.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 787.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 823.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 859.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 895.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 931.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 967.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 1003.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 1039.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 1075.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 1111.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 1147.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 1183.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 1219.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 1255.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 1291.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 1327.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 1363.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 1399.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
[ordered-list, [133.0, 1435.0, 997.0, 36.0], shoonya_1s9ZM7AFZ39ENV, 6477053]
