[1240, 1755]
[second-level-question, [1011.0, 140.0, 607.0, 18.0], uXKfDmRAWp, 5729282]
[second-level-question, [1011.0, 158.0, 607.0, 18.0], uXKfDmRAWp, 5729282]
[second-level-question, [1011.0, 176.0, 607.0, 18.0], uXKfDmRAWp, 5729282]
[second-level-question, [1011.0, 194.0, 607.0, 18.0], uXKfDmRAWp, 5729282]
[sidebar, [631.0, 143.0, 140.0, 18.0], cFlbLnNK__, 5729282]
[sidebar, [631.0, 161.0, 140.0, 18.0], cFlbLnNK__, 5729282]
[second-level-question, [166.0, 195.0, 610.0, 18.0], Trms3Xu7aU, 5729282]
[second-level-question, [166.0, 213.0, 610.0, 18.0], Trms3Xu7aU, 5729282]
[second-level-question, [166.0, 231.0, 610.0, 18.0], Trms3Xu7aU, 5729282]
[second-level-question, [166.0, 249.0, 610.0, 18.0], Trms3Xu7aU, 5729282]
[second-level-question, [1014.0, 218.0, 607.0, 18.0], NT01nw_aeW, 5729282]
[second-level-question, [1014.0, 236.0, 607.0, 18.0], NT01nw_aeW, 5729282]
[second-level-question, [1014.0, 254.0, 607.0, 18.0], NT01nw_aeW, 5729282]
[second-level-question, [166.0, 276.0, 618.0, 18.0], t1mTLV5Cld, 5729282]
[second-level-question, [166.0, 294.0, 618.0, 18.0], t1mTLV5Cld, 5729282]
[second-level-question, [166.0, 312.0, 618.0, 18.0], t1mTLV5Cld, 5729282]
[second-level-question, [166.0, 330.0, 618.0, 18.0], t1mTLV5Cld, 5729282]
[second-level-question, [166.0, 348.0, 618.0, 18.0], t1mTLV5Cld, 5729282]
[second-level-question, [166.0, 366.0, 618.0, 18.0], t1mTLV5Cld, 5729282]
[second-level-question, [166.0, 384.0, 618.0, 18.0], t1mTLV5Cld, 5729282]
[second-level-question, [166.0, 402.0, 618.0, 18.0], t1mTLV5Cld, 5729282]
[second-level-question, [166.0, 420.0, 618.0, 18.0], t1mTLV5Cld, 5729282]
[second-level-question, [1022.0, 296.0, 604.0, 18.0], eLNHhLtSHw, 5729282]
[second-level-question, [1022.0, 314.0, 604.0, 18.0], eLNHhLtSHw, 5729282]
[second-level-question, [1022.0, 332.0, 604.0, 18.0], eLNHhLtSHw, 5729282]
[second-level-question, [1022.0, 350.0, 604.0, 18.0], eLNHhLtSHw, 5729282]
[second-level-question, [1022.0, 368.0, 604.0, 18.0], eLNHhLtSHw, 5729282]
[second-level-question, [1022.0, 386.0, 604.0, 18.0], eLNHhLtSHw, 5729282]
[second-level-question, [1022.0, 404.0, 604.0, 18.0], eLNHhLtSHw, 5729282]
[second-level-question, [1009.0, 435.0, 615.0, 18.0], G6qEpBspP1, 5729282]
[second-level-question, [1009.0, 453.0, 615.0, 18.0], G6qEpBspP1, 5729282]
[second-level-question, [1009.0, 471.0, 615.0, 18.0], G6qEpBspP1, 5729282]
[second-level-question, [1009.0, 489.0, 615.0, 18.0], G6qEpBspP1, 5729282]
[second-level-question, [1009.0, 507.0, 615.0, 18.0], G6qEpBspP1, 5729282]
[second-level-question, [172.0, 445.0, 604.0, 18.0], i2FgWOsmkf, 5729282]
[second-level-question, [172.0, 463.0, 604.0, 18.0], i2FgWOsmkf, 5729282]
[second-level-question, [159.0, 497.0, 615.0, 18.0], 6uggUIBijG, 5729282]
[second-level-question, [159.0, 515.0, 615.0, 18.0], 6uggUIBijG, 5729282]
[second-level-question, [159.0, 533.0, 615.0, 18.0], 6uggUIBijG, 5729282]
[second-level-question, [159.0, 551.0, 615.0, 18.0], 6uggUIBijG, 5729282]
[second-level-question, [159.0, 569.0, 615.0, 18.0], 6uggUIBijG, 5729282]
[sidebar, [1489.0, 589.0, 127.0, 18.0], mYTFu-zF61, 5729282]
[second-level-question, [169.0, 601.0, 573.0, 18.0], oNIbjuQeoy, 5729282]
[second-level-question, [169.0, 619.0, 573.0, 18.0], oNIbjuQeoy, 5729282]
[second-level-question, [1027.0, 635.0, 591.0, 18.0], mN60pfUjM4, 5729282]
[second-level-question, [1027.0, 653.0, 591.0, 18.0], mN60pfUjM4, 5729282]
[second-level-question, [1027.0, 671.0, 591.0, 18.0], mN60pfUjM4, 5729282]
[second-level-question, [1027.0, 689.0, 591.0, 18.0], mN60pfUjM4, 5729282]
[sidebar, [657.0, 691.0, 117.0, 18.0], CaIuIKgqvv, 5729282]
[second-level-question, [1027.0, 703.0, 599.0, 18.0], m4CpXCIgJi, 5729282]
[second-level-question, [1027.0, 721.0, 599.0, 18.0], m4CpXCIgJi, 5729282]
[second-level-question, [1027.0, 739.0, 599.0, 18.0], m4CpXCIgJi, 5729282]
[second-level-question, [1027.0, 757.0, 599.0, 18.0], m4CpXCIgJi, 5729282]
[second-level-question, [1027.0, 775.0, 599.0, 18.0], m4CpXCIgJi, 5729282]
[second-level-question, [1027.0, 793.0, 599.0, 18.0], m4CpXCIgJi, 5729282]
[second-level-question, [177.0, 724.0, 591.0, 18.0], pm1RucjIZs, 5729282]
[second-level-question, [177.0, 742.0, 591.0, 18.0], pm1RucjIZs, 5729282]
[second-level-question, [177.0, 760.0, 591.0, 18.0], pm1RucjIZs, 5729282]
[second-level-question, [177.0, 778.0, 591.0, 18.0], pm1RucjIZs, 5729282]
[second-level-question, [179.0, 815.0, 604.0, 18.0], SeH_RDKGv_, 5729282]
[second-level-question, [179.0, 833.0, 604.0, 18.0], SeH_RDKGv_, 5729282]
[second-level-question, [179.0, 851.0, 604.0, 18.0], SeH_RDKGv_, 5729282]
[second-level-question, [179.0, 869.0, 604.0, 18.0], SeH_RDKGv_, 5729282]
[second-level-question, [179.0, 887.0, 604.0, 18.0], SeH_RDKGv_, 5729282]
[second-level-question, [1030.0, 820.0, 599.0, 18.0], LYlNj4d7Uy, 5729282]
[second-level-question, [1030.0, 838.0, 599.0, 18.0], LYlNj4d7Uy, 5729282]
[second-level-question, [1030.0, 856.0, 599.0, 18.0], LYlNj4d7Uy, 5729282]
[second-level-question, [1030.0, 874.0, 599.0, 18.0], LYlNj4d7Uy, 5729282]
[second-level-question, [1030.0, 892.0, 599.0, 18.0], LYlNj4d7Uy, 5729282]
[second-level-question, [177.0, 911.0, 589.0, 18.0], qCQ8OQjMHd, 5729282]
[second-level-question, [177.0, 929.0, 589.0, 18.0], qCQ8OQjMHd, 5729282]
[second-level-question, [177.0, 947.0, 589.0, 18.0], qCQ8OQjMHd, 5729282]
[second-level-question, [177.0, 965.0, 589.0, 18.0], qCQ8OQjMHd, 5729282]
[second-level-question, [177.0, 983.0, 589.0, 18.0], qCQ8OQjMHd, 5729282]
[second-level-question, [164.0, 1015.0, 618.0, 18.0], ouL4tL0u9D, 5729282]
[second-level-question, [164.0, 1033.0, 618.0, 18.0], ouL4tL0u9D, 5729282]
[second-level-question, [164.0, 1051.0, 618.0, 18.0], ouL4tL0u9D, 5729282]
[second-level-question, [164.0, 1069.0, 618.0, 18.0], ouL4tL0u9D, 5729282]
