[842, 595]
[folio, [239.0, 130.0, 135.0, 18.0], WfYo4LU01w, 6513525]
[paragraph, [142.0, 181.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 199.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 217.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 235.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 253.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 271.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 289.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 307.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 325.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 343.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 361.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 379.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 397.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 415.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 433.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 451.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 469.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 487.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 505.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 523.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 541.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 559.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 577.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 595.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 613.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 631.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
[paragraph, [142.0, 649.0, 326.0, 18.0], shoonya_2sHXFU0GG4RPNF, 6513525]
