[1755, 1240]
[paragraph, [225.0, 230.0, 789.0, 36.0], shoonya_0sXKQR70WLY8RT, 5744326]
[paragraph, [225.0, 266.0, 789.0, 36.0], shoonya_0sXKQR70WLY8RT, 5744326]
[paragraph, [225.0, 302.0, 789.0, 36.0], shoonya_0sXKQR70WLY8RT, 5744326]
[paragraph, [225.0, 338.0, 789.0, 36.0], shoonya_0sXKQR70WLY8RT, 5744326]
[paragraph, [225.0, 374.0, 789.0, 36.0], shoonya_0sXKQR70WLY8RT, 5744326]
[paragraph, [221.0, 438.0, 792.0, 36.0], mHlMCKsTQd, 5744326]
[paragraph, [221.0, 474.0, 792.0, 36.0], mHlMCKsTQd, 5744326]
[paragraph, [221.0, 510.0, 792.0, 36.0], mHlMCKsTQd, 5744326]
[paragraph, [221.0, 546.0, 792.0, 36.0], mHlMCKsTQd, 5744326]
[paragraph, [221.0, 582.0, 792.0, 36.0], mHlMCKsTQd, 5744326]
[paragraph, [226.0, 635.0, 785.0, 36.0], d4XXH1bgag, 5744326]
[paragraph, [226.0, 671.0, 785.0, 36.0], d4XXH1bgag, 5744326]
[paragraph, [444.0, 741.0, 330.0, 36.0], nF0tcxxK8G, 5744326]
[paragraph, [444.0, 777.0, 330.0, 36.0], nF0tcxxK8G, 5744326]
[paragraph, [444.0, 813.0, 330.0, 36.0], nF0tcxxK8G, 5744326]
[paragraph, [444.0, 849.0, 330.0, 36.0], nF0tcxxK8G, 5744326]
[paragraph, [444.0, 885.0, 330.0, 36.0], nF0tcxxK8G, 5744326]
[paragraph, [444.0, 921.0, 330.0, 36.0], nF0tcxxK8G, 5744326]
[paragraph, [444.0, 957.0, 330.0, 36.0], nF0tcxxK8G, 5744326]
[paragraph, [444.0, 993.0, 330.0, 36.0], nF0tcxxK8G, 5744326]
[paragraph, [607.0, 1037.0, 288.0, 36.0], 4bmr35_vdF, 5744326]
[paragraph, [223.0, 1080.0, 798.0, 36.0], pSYh5uPI9y, 5744326]
[paragraph, [223.0, 1116.0, 798.0, 36.0], pSYh5uPI9y, 5744326]
[paragraph, [223.0, 1152.0, 798.0, 36.0], pSYh5uPI9y, 5744326]
[paragraph, [223.0, 1188.0, 798.0, 36.0], pSYh5uPI9y, 5744326]
[paragraph, [223.0, 1224.0, 798.0, 36.0], pSYh5uPI9y, 5744326]
[paragraph, [223.0, 1260.0, 798.0, 36.0], pSYh5uPI9y, 5744326]
[paragraph, [223.0, 1296.0, 798.0, 36.0], pSYh5uPI9y, 5744326]
[paragraph, [223.0, 1332.0, 798.0, 36.0], pSYh5uPI9y, 5744326]
[paragraph, [223.0, 1368.0, 798.0, 36.0], pSYh5uPI9y, 5744326]
[paragraph, [223.0, 1404.0, 798.0, 36.0], pSYh5uPI9y, 5744326]
[paragraph, [223.0, 1440.0, 798.0, 36.0], pSYh5uPI9y, 5744326]
