[2200, 1700]
[paragraph, [380.0, 112.0, 580.0, 36.0], shoonya_4sFHYLG7BTU4HH, 5733949]
[paragraph, [371.0, 176.0, 1116.0, 36.0], CVvyXLNocX, 5733949]
[paragraph, [371.0, 212.0, 1116.0, 36.0], CVvyXLNocX, 5733949]
[paragraph, [375.0, 283.0, 451.0, 36.0], shoonya_3sESRA2VB4I11Z, 5733949]
[paragraph, [373.0, 341.0, 1141.0, 36.0], tfc8xFOd9d, 5733949]
[paragraph, [373.0, 377.0, 1141.0, 36.0], tfc8xFOd9d, 5733949]
[paragraph, [373.0, 413.0, 1141.0, 36.0], tfc8xFOd9d, 5733949]
[paragraph, [373.0, 449.0, 1141.0, 36.0], tfc8xFOd9d, 5733949]
[paragraph, [372.0, 527.0, 1146.0, 36.0], shoonya_2sQ6UA874LY3FR, 5733949]
[paragraph, [372.0, 563.0, 1146.0, 36.0], shoonya_2sQ6UA874LY3FR, 5733949]
[paragraph, [372.0, 599.0, 1146.0, 36.0], shoonya_2sQ6UA874LY3FR, 5733949]
[paragraph, [372.0, 635.0, 1146.0, 36.0], shoonya_2sQ6UA874LY3FR, 5733949]
[paragraph, [372.0, 671.0, 1146.0, 36.0], shoonya_2sQ6UA874LY3FR, 5733949]
[paragraph, [372.0, 707.0, 1146.0, 36.0], shoonya_2sQ6UA874LY3FR, 5733949]
[paragraph, [372.0, 743.0, 1146.0, 36.0], shoonya_2sQ6UA874LY3FR, 5733949]
[paragraph, [372.0, 779.0, 1146.0, 36.0], shoonya_2sQ6UA874LY3FR, 5733949]
[paragraph, [372.0, 815.0, 1146.0, 36.0], shoonya_2sQ6UA874LY3FR, 5733949]
[paragraph, [372.0, 851.0, 1146.0, 36.0], shoonya_2sQ6UA874LY3FR, 5733949]
[paragraph, [372.0, 887.0, 1146.0, 36.0], shoonya_2sQ6UA874LY3FR, 5733949]
[paragraph, [372.0, 923.0, 1146.0, 36.0], shoonya_2sQ6UA874LY3FR, 5733949]
[paragraph, [373.0, 991.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1027.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1063.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1099.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1135.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1171.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1207.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1243.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1279.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1315.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1351.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1387.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1423.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1459.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1495.0, 1133.0, 36.0], shoonya_1sPXWXM62SILBR, 5733949]
[paragraph, [373.0, 1571.0, 1134.0, 36.0], shoonya_0sT8JDX2BP5V1N, 5733949]
[paragraph, [373.0, 1607.0, 1134.0, 36.0], shoonya_0sT8JDX2BP5V1N, 5733949]
[paragraph, [373.0, 1643.0, 1134.0, 36.0], shoonya_0sT8JDX2BP5V1N, 5733949]
[paragraph, [373.0, 1679.0, 1134.0, 36.0], shoonya_0sT8JDX2BP5V1N, 5733949]
[paragraph, [373.0, 1715.0, 1134.0, 36.0], shoonya_0sT8JDX2BP5V1N, 5733949]
[paragraph, [373.0, 1751.0, 1134.0, 36.0], shoonya_0sT8JDX2BP5V1N, 5733949]
[paragraph, [373.0, 1787.0, 1134.0, 36.0], shoonya_0sT8JDX2BP5V1N, 5733949]
[paragraph, [373.0, 1823.0, 1134.0, 36.0], shoonya_0sT8JDX2BP5V1N, 5733949]
[paragraph, [373.0, 1859.0, 1134.0, 36.0], shoonya_0sT8JDX2BP5V1N, 5733949]
[paragraph, [373.0, 1895.0, 1134.0, 36.0], shoonya_0sT8JDX2BP5V1N, 5733949]
[paragraph, [373.0, 1931.0, 1134.0, 36.0], shoonya_0sT8JDX2BP5V1N, 5733949]
[paragraph, [373.0, 1967.0, 1134.0, 36.0], shoonya_0sT8JDX2BP5V1N, 5733949]
[paragraph, [373.0, 2003.0, 1134.0, 36.0], shoonya_0sT8JDX2BP5V1N, 5733949]
