[1350, 900]
[folio, [184.0, 189.0, 211.0, 18.0], shoonya_5s1QY1TFR2JHWA, 5760428]
[paragraph, [157.0, 232.0, 560.0, 18.0], shoonya_0sJAJ76KYCAV2Y, 5760428]
[paragraph, [157.0, 250.0, 560.0, 18.0], shoonya_0sJAJ76KYCAV2Y, 5760428]
[paragraph, [157.0, 268.0, 560.0, 18.0], shoonya_0sJAJ76KYCAV2Y, 5760428]
[paragraph, [157.0, 286.0, 560.0, 18.0], shoonya_0sJAJ76KYCAV2Y, 5760428]
[paragraph, [157.0, 304.0, 560.0, 18.0], shoonya_0sJAJ76KYCAV2Y, 5760428]
[paragraph, [157.0, 322.0, 560.0, 18.0], shoonya_0sJAJ76KYCAV2Y, 5760428]
[paragraph, [157.0, 340.0, 560.0, 18.0], shoonya_0sJAJ76KYCAV2Y, 5760428]
[paragraph, [157.0, 358.0, 560.0, 18.0], shoonya_0sJAJ76KYCAV2Y, 5760428]
[paragraph, [157.0, 376.0, 560.0, 18.0], shoonya_0sJAJ76KYCAV2Y, 5760428]
[paragraph, [158.0, 422.0, 559.0, 18.0], shoonya_1s4I6Y0AD597WP, 5760428]
[paragraph, [158.0, 440.0, 559.0, 18.0], shoonya_1s4I6Y0AD597WP, 5760428]
[paragraph, [158.0, 458.0, 559.0, 18.0], shoonya_1s4I6Y0AD597WP, 5760428]
[paragraph, [158.0, 476.0, 559.0, 18.0], shoonya_1s4I6Y0AD597WP, 5760428]
[paragraph, [157.0, 521.0, 563.0, 18.0], shoonya_3sVMHXN7DX4CLY, 5760428]
[paragraph, [157.0, 539.0, 563.0, 18.0], shoonya_3sVMHXN7DX4CLY, 5760428]
[paragraph, [157.0, 557.0, 563.0, 18.0], shoonya_3sVMHXN7DX4CLY, 5760428]
[paragraph, [157.0, 575.0, 563.0, 18.0], shoonya_3sVMHXN7DX4CLY, 5760428]
[paragraph, [157.0, 593.0, 563.0, 18.0], shoonya_3sVMHXN7DX4CLY, 5760428]
[paragraph, [157.0, 611.0, 563.0, 18.0], shoonya_3sVMHXN7DX4CLY, 5760428]
[paragraph, [157.0, 629.0, 563.0, 18.0], shoonya_3sVMHXN7DX4CLY, 5760428]
[paragraph, [157.0, 647.0, 563.0, 18.0], shoonya_3sVMHXN7DX4CLY, 5760428]
[paragraph, [157.0, 665.0, 563.0, 18.0], shoonya_3sVMHXN7DX4CLY, 5760428]
[paragraph, [157.0, 683.0, 563.0, 18.0], shoonya_3sVMHXN7DX4CLY, 5760428]
[paragraph, [157.0, 701.0, 563.0, 18.0], shoonya_3sVMHXN7DX4CLY, 5760428]
[paragraph, [157.0, 719.0, 563.0, 18.0], shoonya_3sVMHXN7DX4CLY, 5760428]
[paragraph, [156.0, 762.0, 564.0, 18.0], DuNWaHQzMh, 5760428]
[paragraph, [156.0, 780.0, 564.0, 18.0], DuNWaHQzMh, 5760428]
[paragraph, [156.0, 798.0, 564.0, 18.0], DuNWaHQzMh, 5760428]
[paragraph, [156.0, 816.0, 564.0, 18.0], DuNWaHQzMh, 5760428]
[paragraph, [156.0, 834.0, 564.0, 18.0], DuNWaHQzMh, 5760428]
[paragraph, [156.0, 852.0, 564.0, 18.0], DuNWaHQzMh, 5760428]
[paragraph, [156.0, 870.0, 564.0, 18.0], DuNWaHQzMh, 5760428]
[paragraph, [159.0, 914.0, 564.0, 18.0], XCOEgBXwXh, 5760428]
[paragraph, [159.0, 932.0, 564.0, 18.0], XCOEgBXwXh, 5760428]
[paragraph, [159.0, 950.0, 564.0, 18.0], XCOEgBXwXh, 5760428]
[paragraph, [159.0, 968.0, 564.0, 18.0], XCOEgBXwXh, 5760428]
[paragraph, [159.0, 986.0, 564.0, 18.0], XCOEgBXwXh, 5760428]
[paragraph, [159.0, 1004.0, 564.0, 18.0], XCOEgBXwXh, 5760428]
[paragraph, [159.0, 1022.0, 564.0, 18.0], XCOEgBXwXh, 5760428]
[paragraph, [159.0, 1040.0, 564.0, 18.0], XCOEgBXwXh, 5760428]
[paragraph, [156.0, 1065.0, 563.0, 18.0], shoonya_2sTF5M1KTTEKER, 5760428]
[paragraph, [156.0, 1083.0, 563.0, 18.0], shoonya_2sTF5M1KTTEKER, 5760428]
[paragraph, [156.0, 1101.0, 563.0, 18.0], shoonya_2sTF5M1KTTEKER, 5760428]
