[1468, 909]
[headline, [336.0, 76.0, 301.0, 25.5], HvLiE_bB5K, 5770444]
[paragraph, [104.0, 137.0, 239.0, 18.0], kLm_HlMPAN, 5770444]
[paragraph, [104.0, 155.0, 239.0, 18.0], kLm_HlMPAN, 5770444]
[paragraph, [104.0, 173.0, 239.0, 18.0], kLm_HlMPAN, 5770444]
[paragraph, [104.0, 191.0, 239.0, 18.0], kLm_HlMPAN, 5770444]
[paragraph, [104.0, 209.0, 239.0, 18.0], kLm_HlMPAN, 5770444]
[paragraph, [104.0, 227.0, 239.0, 18.0], kLm_HlMPAN, 5770444]
[paragraph, [452.0, 137.0, 373.0, 18.0], nmejgF918v, 5770444]
[paragraph, [452.0, 155.0, 373.0, 18.0], nmejgF918v, 5770444]
[paragraph, [452.0, 173.0, 373.0, 18.0], nmejgF918v, 5770444]
[paragraph, [452.0, 191.0, 373.0, 18.0], nmejgF918v, 5770444]
[paragraph, [452.0, 209.0, 373.0, 18.0], nmejgF918v, 5770444]
[paragraph, [452.0, 227.0, 373.0, 18.0], nmejgF918v, 5770444]
[paragraph, [79.0, 253.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 271.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 289.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 307.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 325.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 343.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 361.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 379.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 397.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 415.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 433.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 451.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 469.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 487.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 505.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
[paragraph, [79.0, 523.0, 365.0, 18.0], uXFEa00AbJ, 5770444]
