[1754, 1241]
[folio, [907.0, 113.0, 189.0, 36.0], CqDsBKT-3g, 5747179]
[paragraph, [146.0, 160.0, 960.0, 36.0], shoonya_2sVLLDMYGQOSUE, 5747179]
[paragraph, [146.0, 196.0, 960.0, 36.0], shoonya_2sVLLDMYGQOSUE, 5747179]
[paragraph, [146.0, 232.0, 960.0, 36.0], shoonya_2sVLLDMYGQOSUE, 5747179]
[ordered-list, [147.0, 296.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 332.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 368.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 404.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 440.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 476.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 512.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 548.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 584.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 620.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 656.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 692.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 728.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 764.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 800.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 836.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 872.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[ordered-list, [147.0, 908.0, 952.0, 36.0], bvND_GoY8Z, 5747179]
[paragraph, [141.0, 1053.0, 958.0, 36.0], nnHcnB7BT6, 5747179]
[paragraph, [141.0, 1089.0, 958.0, 36.0], nnHcnB7BT6, 5747179]
[paragraph, [141.0, 1125.0, 958.0, 36.0], nnHcnB7BT6, 5747179]
[paragraph, [141.0, 1161.0, 958.0, 36.0], nnHcnB7BT6, 5747179]
[paragraph, [141.0, 1197.0, 958.0, 36.0], nnHcnB7BT6, 5747179]
[paragraph, [141.0, 1233.0, 958.0, 36.0], nnHcnB7BT6, 5747179]
[sub-section-title, [141.0, 1291.0, 96.0, 36.0], f3kMtO6CXA, 5747179]
[paragraph, [143.0, 1335.0, 951.0, 36.0], shoonya_0sBW88FONI64NR, 5747179]
[paragraph, [143.0, 1371.0, 951.0, 36.0], shoonya_0sBW88FONI64NR, 5747179]
[paragraph, [143.0, 1407.0, 951.0, 36.0], shoonya_0sBW88FONI64NR, 5747179]
[paragraph, [143.0, 1443.0, 951.0, 36.0], shoonya_0sBW88FONI64NR, 5747179]
[paragraph, [143.0, 1479.0, 951.0, 36.0], shoonya_0sBW88FONI64NR, 5747179]
