[2200, 1700]
[folio, [146.0, 87.0, 319.0, 36.0], e-5FYs1Bay, 5757707]
[folio, [1321.0, 87.0, 238.0, 36.0], E4WXZ-2skp, 5757707]
[paragraph, [129.0, 155.0, 1444.0, 36.0], LZfKRaWXnz, 5757707]
[paragraph, [129.0, 191.0, 1444.0, 36.0], LZfKRaWXnz, 5757707]
[paragraph, [129.0, 227.0, 1444.0, 36.0], LZfKRaWXnz, 5757707]
[paragraph, [129.0, 263.0, 1444.0, 36.0], LZfKRaWXnz, 5757707]
[paragraph, [129.0, 299.0, 1444.0, 36.0], LZfKRaWXnz, 5757707]
[paragraph, [144.0, 357.0, 1429.0, 36.0], fRBJsWCdgP, 5757707]
[paragraph, [144.0, 393.0, 1429.0, 36.0], fRBJsWCdgP, 5757707]
[unordered-list, [129.0, 434.0, 857.0, 36.0], lEwdeomCqU, 5757707]
[unordered-list, [129.0, 470.0, 857.0, 36.0], lEwdeomCqU, 5757707]
[section-title, [146.0, 595.0, 259.0, 52.5], MH7kgzzjDj, 5757707]
[unordered-list, [144.0, 648.0, 1434.0, 36.0], sbhzNc508k, 5757707]
[unordered-list, [144.0, 684.0, 1434.0, 36.0], sbhzNc508k, 5757707]
[unordered-list, [144.0, 720.0, 1434.0, 36.0], sbhzNc508k, 5757707]
[unordered-list, [144.0, 756.0, 1434.0, 36.0], sbhzNc508k, 5757707]
[unordered-list, [144.0, 792.0, 1434.0, 36.0], sbhzNc508k, 5757707]
[unordered-list, [144.0, 828.0, 1434.0, 36.0], sbhzNc508k, 5757707]
[unordered-list, [144.0, 864.0, 1434.0, 36.0], sbhzNc508k, 5757707]
[unordered-list, [144.0, 900.0, 1434.0, 36.0], sbhzNc508k, 5757707]
[unordered-list, [144.0, 936.0, 1434.0, 36.0], sbhzNc508k, 5757707]
[section-title, [138.0, 1027.0, 751.0, 52.5], QQ7oXonvtM, 5757707]
[paragraph, [136.0, 1097.0, 1425.0, 36.0], OpMrqYpOD3, 5757707]
[paragraph, [136.0, 1133.0, 1425.0, 36.0], OpMrqYpOD3, 5757707]
[paragraph, [136.0, 1169.0, 1425.0, 36.0], OpMrqYpOD3, 5757707]
[paragraph, [153.0, 1272.0, 1146.0, 36.0], SR-O9R6gmM, 5757707]
[unordered-list, [858.0, 1364.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [858.0, 1400.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [858.0, 1436.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [858.0, 1472.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [858.0, 1508.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [858.0, 1544.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [858.0, 1580.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [858.0, 1616.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [858.0, 1652.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [858.0, 1688.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [858.0, 1724.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [858.0, 1760.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [858.0, 1796.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [858.0, 1832.0, 680.0, 36.0], shoonya_1s6G9X7Q6JM3VR, 5757707]
[unordered-list, [172.0, 1368.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1404.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1440.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1476.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1512.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1548.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1584.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1620.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1656.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1692.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1728.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1764.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1800.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1836.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1872.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
[unordered-list, [172.0, 1908.0, 672.0, 36.0], shoonya_0sAK9VU53MXMUT, 5757707]
