[792, 612]
[paragraph, [74.0, 3.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 21.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 39.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 57.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 75.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 93.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 111.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 129.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 147.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 165.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 183.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 201.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 219.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 237.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 255.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[paragraph, [74.0, 273.0, 152.0, 18.0], 2Ol34EZDdX, 6515847]
[sidebar, [230.0, 4.0, 304.0, 18.0], R5vneO1jAr, 6515847]
[sidebar, [230.0, 22.0, 304.0, 18.0], R5vneO1jAr, 6515847]
[sidebar, [230.0, 40.0, 304.0, 18.0], R5vneO1jAr, 6515847]
[sidebar, [230.0, 58.0, 304.0, 18.0], R5vneO1jAr, 6515847]
[sidebar, [230.0, 76.0, 304.0, 18.0], R5vneO1jAr, 6515847]
[sidebar, [230.0, 94.0, 304.0, 18.0], R5vneO1jAr, 6515847]
[sidebar, [230.0, 112.0, 304.0, 18.0], R5vneO1jAr, 6515847]
[sidebar, [230.0, 130.0, 304.0, 18.0], R5vneO1jAr, 6515847]
[paragraph, [232.0, 167.0, 148.0, 18.0], XHKZPi5YGd, 6515847]
[paragraph, [232.0, 185.0, 148.0, 18.0], XHKZPi5YGd, 6515847]
[paragraph, [385.0, 167.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 185.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 203.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 221.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 239.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 257.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 275.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 293.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 311.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 329.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 347.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 365.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 383.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 401.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 419.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 437.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [385.0, 455.0, 155.0, 18.0], owPchASsdO, 6515847]
[paragraph, [231.0, 212.0, 149.0, 18.0], AWGWuS0GY9, 6515847]
[paragraph, [231.0, 230.0, 149.0, 18.0], AWGWuS0GY9, 6515847]
[paragraph, [231.0, 248.0, 149.0, 18.0], AWGWuS0GY9, 6515847]
[paragraph, [231.0, 266.0, 149.0, 18.0], AWGWuS0GY9, 6515847]
[paragraph, [231.0, 284.0, 149.0, 18.0], AWGWuS0GY9, 6515847]
[paragraph, [231.0, 302.0, 149.0, 18.0], AWGWuS0GY9, 6515847]
[paragraph, [71.0, 307.0, 151.0, 18.0], B4OlnDnifX, 6515847]
[paragraph, [230.0, 325.0, 154.0, 18.0], rPLJ2Bf6NY, 6515847]
[paragraph, [230.0, 343.0, 154.0, 18.0], rPLJ2Bf6NY, 6515847]
[paragraph, [230.0, 361.0, 154.0, 18.0], rPLJ2Bf6NY, 6515847]
[paragraph, [230.0, 379.0, 154.0, 18.0], rPLJ2Bf6NY, 6515847]
[paragraph, [230.0, 397.0, 154.0, 18.0], rPLJ2Bf6NY, 6515847]
[paragraph, [230.0, 415.0, 154.0, 18.0], rPLJ2Bf6NY, 6515847]
[paragraph, [230.0, 433.0, 154.0, 18.0], rPLJ2Bf6NY, 6515847]
[paragraph, [230.0, 451.0, 154.0, 18.0], rPLJ2Bf6NY, 6515847]
