[1818, 1374]
[folio, [619.0, 204.0, 132.0, 36.0], shoonya_0sEAEDTY060FEF, 5683254]
[paragraph, [95.0, 272.0, 579.0, 36.0], shoonya_3sBJF1X3KK83H5, 5683254]
[paragraph, [95.0, 308.0, 579.0, 36.0], shoonya_3sBJF1X3KK83H5, 5683254]
[paragraph, [95.0, 344.0, 579.0, 36.0], shoonya_3sBJF1X3KK83H5, 5683254]
[paragraph, [95.0, 380.0, 579.0, 36.0], shoonya_3sBJF1X3KK83H5, 5683254]
[paragraph, [95.0, 416.0, 579.0, 36.0], shoonya_3sBJF1X3KK83H5, 5683254]
[paragraph, [95.0, 452.0, 579.0, 36.0], shoonya_3sBJF1X3KK83H5, 5683254]
[paragraph, [694.0, 274.0, 565.0, 36.0], bImUv3Zb4M, 5683254]
[paragraph, [694.0, 310.0, 565.0, 36.0], bImUv3Zb4M, 5683254]
[paragraph, [694.0, 346.0, 565.0, 36.0], bImUv3Zb4M, 5683254]
[paragraph, [694.0, 382.0, 565.0, 36.0], bImUv3Zb4M, 5683254]
[paragraph, [694.0, 418.0, 565.0, 36.0], bImUv3Zb4M, 5683254]
[paragraph, [694.0, 454.0, 565.0, 36.0], bImUv3Zb4M, 5683254]
[paragraph, [694.0, 490.0, 565.0, 36.0], bImUv3Zb4M, 5683254]
[paragraph, [149.0, 514.0, 292.0, 36.0], shoonya_4sBKIDFWI0UZ52, 5683254]
[paragraph, [694.0, 556.0, 565.0, 36.0], Yugxsvjf6v, 5683254]
[paragraph, [694.0, 592.0, 565.0, 36.0], Yugxsvjf6v, 5683254]
[paragraph, [694.0, 628.0, 565.0, 36.0], Yugxsvjf6v, 5683254]
[paragraph, [147.0, 593.0, 239.0, 36.0], shoonya_6sXYNRSHZS9V1K, 5683254]
[paragraph, [99.0, 636.0, 583.0, 36.0], D5i5m4OGqm, 5683254]
[paragraph, [99.0, 672.0, 583.0, 36.0], D5i5m4OGqm, 5683254]
[paragraph, [99.0, 708.0, 583.0, 36.0], D5i5m4OGqm, 5683254]
[paragraph, [99.0, 744.0, 583.0, 36.0], D5i5m4OGqm, 5683254]
[paragraph, [732.0, 674.0, 422.0, 36.0], DEViTRaXhE, 5683254]
[paragraph, [696.0, 754.0, 568.0, 36.0], e4Jqi4cv0d, 5683254]
[paragraph, [696.0, 790.0, 568.0, 36.0], e4Jqi4cv0d, 5683254]
[paragraph, [143.0, 795.0, 462.0, 36.0], 39v-6ASXhA, 5683254]
[paragraph, [142.0, 838.0, 349.0, 36.0], 9xttb32qph, 5683254]
[paragraph, [696.0, 877.0, 572.0, 36.0], Y7cxiZr8Ge, 5683254]
[paragraph, [696.0, 913.0, 572.0, 36.0], Y7cxiZr8Ge, 5683254]
[paragraph, [111.0, 879.0, 566.0, 36.0], vt5qtJJWI4, 5683254]
[paragraph, [111.0, 915.0, 566.0, 36.0], vt5qtJJWI4, 5683254]
[paragraph, [111.0, 951.0, 566.0, 36.0], vt5qtJJWI4, 5683254]
[paragraph, [111.0, 987.0, 566.0, 36.0], vt5qtJJWI4, 5683254]
[paragraph, [111.0, 1023.0, 566.0, 36.0], vt5qtJJWI4, 5683254]
[paragraph, [111.0, 1059.0, 566.0, 36.0], vt5qtJJWI4, 5683254]
[paragraph, [695.0, 956.0, 570.0, 36.0], 9bFpAHVBVJ, 5683254]
[paragraph, [695.0, 992.0, 570.0, 36.0], 9bFpAHVBVJ, 5683254]
[paragraph, [695.0, 1028.0, 570.0, 36.0], 9bFpAHVBVJ, 5683254]
[paragraph, [695.0, 1064.0, 570.0, 36.0], 9bFpAHVBVJ, 5683254]
[paragraph, [695.0, 1100.0, 570.0, 36.0], 9bFpAHVBVJ, 5683254]
[paragraph, [695.0, 1136.0, 570.0, 36.0], 9bFpAHVBVJ, 5683254]
[paragraph, [142.0, 1118.0, 298.0, 36.0], mkaAIz0p1i, 5683254]
[paragraph, [96.0, 1157.0, 590.0, 36.0], Vqc6bPt60K, 5683254]
[paragraph, [96.0, 1193.0, 590.0, 36.0], Vqc6bPt60K, 5683254]
[paragraph, [96.0, 1229.0, 590.0, 36.0], Vqc6bPt60K, 5683254]
[paragraph, [96.0, 1265.0, 590.0, 36.0], Vqc6bPt60K, 5683254]
[paragraph, [96.0, 1301.0, 590.0, 36.0], Vqc6bPt60K, 5683254]
[paragraph, [96.0, 1337.0, 590.0, 36.0], Vqc6bPt60K, 5683254]
[paragraph, [96.0, 1373.0, 590.0, 36.0], Vqc6bPt60K, 5683254]
[paragraph, [695.0, 1195.0, 571.0, 36.0], YyJhTLzSO5, 5683254]
[paragraph, [695.0, 1231.0, 571.0, 36.0], YyJhTLzSO5, 5683254]
[paragraph, [694.0, 1277.0, 576.0, 36.0], X8b3ixPCDI, 5683254]
[paragraph, [694.0, 1313.0, 576.0, 36.0], X8b3ixPCDI, 5683254]
[paragraph, [694.0, 1349.0, 576.0, 36.0], X8b3ixPCDI, 5683254]
[paragraph, [693.0, 1397.0, 581.0, 36.0], 75gS42ap3e, 5683254]
[paragraph, [693.0, 1433.0, 581.0, 36.0], 75gS42ap3e, 5683254]
[paragraph, [693.0, 1469.0, 581.0, 36.0], 75gS42ap3e, 5683254]
[paragraph, [96.0, 1439.0, 585.0, 36.0], Mkx-7jLf_x, 5683254]
[paragraph, [96.0, 1475.0, 585.0, 36.0], Mkx-7jLf_x, 5683254]
[paragraph, [96.0, 1511.0, 585.0, 36.0], Mkx-7jLf_x, 5683254]
[paragraph, [96.0, 1547.0, 585.0, 36.0], Mkx-7jLf_x, 5683254]
[paragraph, [96.0, 1583.0, 585.0, 36.0], Mkx-7jLf_x, 5683254]
[paragraph, [692.0, 1514.0, 577.0, 36.0], s8eJVDgBbJ, 5683254]
[paragraph, [692.0, 1550.0, 577.0, 36.0], s8eJVDgBbJ, 5683254]
[paragraph, [697.0, 1638.0, 569.0, 36.0], Hs1IlshUxs, 5683254]
[paragraph, [697.0, 1674.0, 569.0, 36.0], Hs1IlshUxs, 5683254]
[paragraph, [96.0, 1641.0, 585.0, 36.0], geI_jOrkBD, 5683254]
[paragraph, [96.0, 1677.0, 585.0, 36.0], geI_jOrkBD, 5683254]
