[1162, 749]
[folio, [302.0, 75.0, 155.0, 18.0], shoonya_1sQDN89F0IZ7EF, 5700153]
[paragraph, [81.0, 119.0, 596.0, 18.0], shoonya_4sEO4MDVOYWK4A, 5700153]
[paragraph, [81.0, 137.0, 596.0, 18.0], shoonya_4sEO4MDVOYWK4A, 5700153]
[paragraph, [81.0, 155.0, 596.0, 18.0], shoonya_4sEO4MDVOYWK4A, 5700153]
[paragraph, [81.0, 173.0, 596.0, 18.0], shoonya_4sEO4MDVOYWK4A, 5700153]
[paragraph, [81.0, 191.0, 596.0, 18.0], shoonya_4sEO4MDVOYWK4A, 5700153]
[paragraph, [82.0, 228.0, 593.0, 18.0], shoonya_5sHDLL5YFSM1MO, 5700153]
[paragraph, [82.0, 246.0, 593.0, 18.0], shoonya_5sHDLL5YFSM1MO, 5700153]
[paragraph, [82.0, 264.0, 593.0, 18.0], shoonya_5sHDLL5YFSM1MO, 5700153]
[paragraph, [82.0, 282.0, 593.0, 18.0], shoonya_5sHDLL5YFSM1MO, 5700153]
[paragraph, [82.0, 300.0, 593.0, 18.0], shoonya_5sHDLL5YFSM1MO, 5700153]
[paragraph, [79.0, 332.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 350.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 368.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 386.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 404.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 422.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 440.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 458.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 476.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 494.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 512.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 530.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 548.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 566.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [79.0, 584.0, 593.0, 18.0], shoonya_3sKKDVV146HT7W, 5700153]
[paragraph, [78.0, 613.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 631.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 649.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 667.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 685.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 703.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 721.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 739.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 757.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 775.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 793.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 811.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 829.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 847.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 865.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 883.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 901.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 919.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 937.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 955.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 973.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 991.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 1009.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 1027.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 1045.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
[paragraph, [78.0, 1063.0, 591.0, 18.0], shoonya_0sZY7LBC0R2EUF, 5700153]
