[792, 524]
[chapter-title, [140.0, 96.0, 302.0, 30.0], shoonya_1s0ODCCAWDE98S, 6513515]
[author, [439.0, 159.0, 64.0, 18.0], shoonya_2sRXCR6D8SKRB7, 6513515]
[paragraph, [66.0, 201.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 219.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 237.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 255.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 273.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 291.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 309.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 327.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 345.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 363.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 381.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 399.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 417.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 435.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 453.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 471.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 489.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 507.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 525.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[paragraph, [66.0, 543.0, 436.0, 18.0], shoonya_0sHEE0G9DUTT6K, 6513515]
[footnote, [70.0, 575.0, 426.0, 18.0], shoonya_3sAGXPVVC7XVV1, 6513515]
[footnote, [70.0, 593.0, 426.0, 18.0], shoonya_3sAGXPVVC7XVV1, 6513515]
[footnote, [70.0, 611.0, 426.0, 18.0], shoonya_3sAGXPVVC7XVV1, 6513515]
[footnote, [70.0, 629.0, 426.0, 18.0], shoonya_3sAGXPVVC7XVV1, 6513515]
[footnote, [70.0, 647.0, 426.0, 18.0], shoonya_3sAGXPVVC7XVV1, 6513515]
[footnote, [70.0, 665.0, 426.0, 18.0], shoonya_3sAGXPVVC7XVV1, 6513515]
[footnote, [70.0, 683.0, 426.0, 18.0], shoonya_3sAGXPVVC7XVV1, 6513515]
[footnote, [70.0, 701.0, 426.0, 18.0], shoonya_3sAGXPVVC7XVV1, 6513515]
