[1755, 1241]
[folio, [201.0, 80.0, 462.0, 36.0], LJTROocPdG, 5760133]
[paragraph, [203.0, 150.0, 812.0, 36.0], Gr42Mfnv4G, 5760133]
[paragraph, [203.0, 186.0, 812.0, 36.0], Gr42Mfnv4G, 5760133]
[paragraph, [203.0, 222.0, 812.0, 36.0], Gr42Mfnv4G, 5760133]
[paragraph, [207.0, 279.0, 795.0, 36.0], -CwgnUi6m5, 5760133]
[paragraph, [207.0, 315.0, 795.0, 36.0], -CwgnUi6m5, 5760133]
[paragraph, [207.0, 351.0, 795.0, 36.0], -CwgnUi6m5, 5760133]
[paragraph, [207.0, 387.0, 795.0, 36.0], -CwgnUi6m5, 5760133]
[paragraph, [207.0, 423.0, 795.0, 36.0], -CwgnUi6m5, 5760133]
[paragraph, [207.0, 459.0, 795.0, 36.0], -CwgnUi6m5, 5760133]
[paragraph, [207.0, 495.0, 795.0, 36.0], -CwgnUi6m5, 5760133]
[paragraph, [207.0, 531.0, 795.0, 36.0], -CwgnUi6m5, 5760133]
[paragraph, [207.0, 567.0, 795.0, 36.0], -CwgnUi6m5, 5760133]
[paragraph, [204.0, 618.0, 801.0, 36.0], n6CI1ZImMI, 5760133]
[paragraph, [204.0, 654.0, 801.0, 36.0], n6CI1ZImMI, 5760133]
[paragraph, [204.0, 690.0, 801.0, 36.0], n6CI1ZImMI, 5760133]
[paragraph, [204.0, 726.0, 801.0, 36.0], n6CI1ZImMI, 5760133]
[paragraph, [204.0, 762.0, 801.0, 36.0], n6CI1ZImMI, 5760133]
[paragraph, [204.0, 798.0, 801.0, 36.0], n6CI1ZImMI, 5760133]
[paragraph, [204.0, 834.0, 801.0, 36.0], n6CI1ZImMI, 5760133]
[paragraph, [274.0, 941.0, 518.0, 36.0], DfaNhFrL9X, 5760133]
[paragraph, [274.0, 977.0, 518.0, 36.0], DfaNhFrL9X, 5760133]
[paragraph, [274.0, 1013.0, 518.0, 36.0], DfaNhFrL9X, 5760133]
[paragraph, [274.0, 1049.0, 518.0, 36.0], DfaNhFrL9X, 5760133]
[paragraph, [274.0, 1085.0, 518.0, 36.0], DfaNhFrL9X, 5760133]
[paragraph, [274.0, 1121.0, 518.0, 36.0], DfaNhFrL9X, 5760133]
[paragraph, [190.0, 1169.0, 814.0, 36.0], btkaJwD-iw, 5760133]
[paragraph, [190.0, 1205.0, 814.0, 36.0], btkaJwD-iw, 5760133]
[paragraph, [190.0, 1241.0, 814.0, 36.0], btkaJwD-iw, 5760133]
[paragraph, [190.0, 1277.0, 814.0, 36.0], btkaJwD-iw, 5760133]
[paragraph, [190.0, 1313.0, 814.0, 36.0], btkaJwD-iw, 5760133]
[paragraph, [190.0, 1349.0, 814.0, 36.0], btkaJwD-iw, 5760133]
[paragraph, [195.0, 1415.0, 811.0, 36.0], ER_tBUEFj8, 5760133]
[paragraph, [195.0, 1451.0, 811.0, 36.0], ER_tBUEFj8, 5760133]
[paragraph, [195.0, 1487.0, 811.0, 36.0], ER_tBUEFj8, 5760133]
[paragraph, [195.0, 1523.0, 811.0, 36.0], ER_tBUEFj8, 5760133]
[paragraph, [195.0, 1559.0, 811.0, 36.0], ER_tBUEFj8, 5760133]
[paragraph, [195.0, 1595.0, 811.0, 36.0], ER_tBUEFj8, 5760133]
