[2339, 1654]
[folio, [1312.0, 87.0, 244.0, 36.0], ThoPv56eYh, 5750905]
[paragraph, [261.0, 134.0, 1135.0, 36.0], hn1Xeo3X4i, 5750905]
[paragraph, [261.0, 170.0, 1135.0, 36.0], hn1Xeo3X4i, 5750905]
[paragraph, [261.0, 206.0, 1135.0, 36.0], hn1Xeo3X4i, 5750905]
[paragraph, [261.0, 242.0, 1135.0, 36.0], hn1Xeo3X4i, 5750905]
[reference, [997.0, 285.0, 385.0, 36.0], shoonya_2s5JAT3MV72PJO, 5750905]
[paragraph, [102.0, 341.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 377.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 413.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 449.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 485.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 521.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 557.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 593.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 629.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 665.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 701.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 737.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 773.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 809.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [102.0, 845.0, 1430.0, 36.0], shoonya_0sDZIH7QBR7YYM, 5750905]
[paragraph, [240.0, 901.0, 1160.0, 36.0], UxfuVmCB8U, 5750905]
[paragraph, [240.0, 937.0, 1160.0, 36.0], UxfuVmCB8U, 5750905]
[paragraph, [240.0, 973.0, 1160.0, 36.0], UxfuVmCB8U, 5750905]
[paragraph, [240.0, 1009.0, 1160.0, 36.0], UxfuVmCB8U, 5750905]
[paragraph, [240.0, 1045.0, 1160.0, 36.0], UxfuVmCB8U, 5750905]
[paragraph, [240.0, 1081.0, 1160.0, 36.0], UxfuVmCB8U, 5750905]
[paragraph, [240.0, 1117.0, 1160.0, 36.0], UxfuVmCB8U, 5750905]
[reference, [903.0, 1185.0, 474.0, 36.0], Sp-Z2nUVBq, 5750905]
[reference, [903.0, 1221.0, 474.0, 36.0], Sp-Z2nUVBq, 5750905]
[paragraph, [80.0, 1236.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1272.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1308.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1344.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1380.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1416.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1452.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1488.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1524.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1560.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1596.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1632.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1668.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1704.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1740.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1776.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1812.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1848.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1884.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1920.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1956.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 1992.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
[paragraph, [80.0, 2028.0, 1442.0, 36.0], shoonya_1sHRXUGZ2WMACE, 5750905]
