[1074, 720]
[chapter-title, [303.0, 121.0, 97.0, 30.0], shoonya_1sDC1KTWQUG5UK, 5710771]
[section-title, [176.0, 166.0, 353.0, 30.0], shoonya_6sVW3K84WODWA2, 5710771]
[paragraph, [64.0, 208.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 226.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 244.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 262.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 280.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 298.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 316.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 334.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 352.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 370.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 388.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 406.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 424.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 442.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 460.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 478.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 496.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 514.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 532.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 550.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 568.0, 588.0, 18.0], shoonya_0sFXJV92YB4QRH, 5710771]
[paragraph, [64.0, 592.0, 394.0, 18.0], shoonya_2sXHT1WVASUB9P, 5710771]
[paragraph, [64.0, 610.0, 394.0, 18.0], shoonya_2sXHT1WVASUB9P, 5710771]
[paragraph, [64.0, 628.0, 394.0, 18.0], shoonya_2sXHT1WVASUB9P, 5710771]
[paragraph, [64.0, 646.0, 394.0, 18.0], shoonya_2sXHT1WVASUB9P, 5710771]
[paragraph, [64.0, 664.0, 394.0, 18.0], shoonya_2sXHT1WVASUB9P, 5710771]
[paragraph, [64.0, 682.0, 394.0, 18.0], shoonya_2sXHT1WVASUB9P, 5710771]
[paragraph, [64.0, 700.0, 394.0, 18.0], shoonya_2sXHT1WVASUB9P, 5710771]
[paragraph, [64.0, 718.0, 394.0, 18.0], shoonya_2sXHT1WVASUB9P, 5710771]
[paragraph, [64.0, 747.0, 394.0, 18.0], 81m6WW-LPf, 5710771]
[paragraph, [64.0, 765.0, 394.0, 18.0], 81m6WW-LPf, 5710771]
[paragraph, [64.0, 783.0, 394.0, 18.0], 81m6WW-LPf, 5710771]
[paragraph, [64.0, 801.0, 394.0, 18.0], 81m6WW-LPf, 5710771]
[paragraph, [64.0, 819.0, 394.0, 18.0], 81m6WW-LPf, 5710771]
[figure-caption, [510.0, 795.0, 80.0, 18.0], R-Vj70mCD-, 5710771]
[paragraph, [64.0, 838.0, 589.0, 18.0], eBPs-BxKRv, 5710771]
[paragraph, [64.0, 856.0, 589.0, 18.0], eBPs-BxKRv, 5710771]
[paragraph, [64.0, 874.0, 589.0, 18.0], eBPs-BxKRv, 5710771]
[paragraph, [64.0, 892.0, 589.0, 18.0], eBPs-BxKRv, 5710771]
[paragraph, [64.0, 910.0, 589.0, 18.0], eBPs-BxKRv, 5710771]
[paragraph, [64.0, 928.0, 589.0, 18.0], eBPs-BxKRv, 5710771]
[paragraph, [64.0, 946.0, 589.0, 18.0], eBPs-BxKRv, 5710771]
[paragraph, [64.0, 964.0, 589.0, 18.0], eBPs-BxKRv, 5710771]
[paragraph, [64.0, 982.0, 589.0, 18.0], eBPs-BxKRv, 5710771]
