[596, 420]
[section-title, [29.0, 267.0, 102.0, 30.0], xXGCQdZdYz, 5657013]
[paragraph, [28.0, 313.0, 357.0, 18.0], shoonya_2sM0QR22ULACG9, 5657013]
[paragraph, [28.0, 331.0, 357.0, 18.0], shoonya_2sM0QR22ULACG9, 5657013]
[paragraph, [28.0, 349.0, 357.0, 18.0], shoonya_2sM0QR22ULACG9, 5657013]
[paragraph, [28.0, 367.0, 357.0, 18.0], shoonya_2sM0QR22ULACG9, 5657013]
[paragraph, [28.0, 403.0, 363.0, 18.0], shoonya_0sI3KEK0PEN749, 5657013]
[paragraph, [28.0, 421.0, 363.0, 18.0], shoonya_0sI3KEK0PEN749, 5657013]
[paragraph, [28.0, 439.0, 363.0, 18.0], shoonya_0sI3KEK0PEN749, 5657013]
[paragraph, [28.0, 457.0, 363.0, 18.0], shoonya_0sI3KEK0PEN749, 5657013]
[paragraph, [28.0, 475.0, 363.0, 18.0], shoonya_0sI3KEK0PEN749, 5657013]
[paragraph, [28.0, 493.0, 363.0, 18.0], shoonya_0sI3KEK0PEN749, 5657013]
[paragraph, [28.0, 511.0, 363.0, 18.0], shoonya_0sI3KEK0PEN749, 5657013]
[paragraph, [28.0, 529.0, 363.0, 18.0], shoonya_0sI3KEK0PEN749, 5657013]
[paragraph, [28.0, 547.0, 363.0, 18.0], shoonya_0sI3KEK0PEN749, 5657013]
