[2339, 1656]
[paragraph, [97.0, 63.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 99.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 135.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 171.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 207.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 243.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 279.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 315.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 351.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 387.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 423.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 459.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 495.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 531.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 567.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 603.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 639.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 675.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 711.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 747.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 783.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 819.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 855.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 891.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 927.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 963.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 999.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 1035.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 1071.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 1107.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 1143.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
[paragraph, [97.0, 1179.0, 715.0, 36.0], shoonya_1sEQT29EYI18XZ, 5750009]
