[792, 612]
[folio, [246.0, 65.0, 126.0, 18.0], Vq30m6tOMB, 6494576]
[section-title, [211.0, 110.0, 189.0, 30.0], shoonya_2sLSNLRIWEA4MI, 6494576]
[author, [214.0, 151.0, 83.0, 18.0], shoonya_1sH8II0QQ41XC7, 6494576]
[paragraph, [211.0, 201.0, 163.0, 18.0], aqugKB7EC1, 6494576]
[paragraph, [211.0, 219.0, 163.0, 18.0], aqugKB7EC1, 6494576]
[paragraph, [211.0, 237.0, 163.0, 18.0], aqugKB7EC1, 6494576]
[paragraph, [211.0, 255.0, 163.0, 18.0], aqugKB7EC1, 6494576]
[paragraph, [211.0, 273.0, 163.0, 18.0], aqugKB7EC1, 6494576]
[paragraph, [212.0, 298.0, 161.0, 18.0], cIzmefzy8V, 6494576]
[paragraph, [212.0, 316.0, 161.0, 18.0], cIzmefzy8V, 6494576]
[paragraph, [212.0, 334.0, 161.0, 18.0], cIzmefzy8V, 6494576]
[paragraph, [212.0, 352.0, 161.0, 18.0], cIzmefzy8V, 6494576]
[paragraph, [212.0, 370.0, 161.0, 18.0], cIzmefzy8V, 6494576]
[paragraph, [212.0, 390.0, 162.0, 18.0], rL3pc-bTqT, 6494576]
[paragraph, [212.0, 408.0, 162.0, 18.0], rL3pc-bTqT, 6494576]
[paragraph, [212.0, 426.0, 162.0, 18.0], rL3pc-bTqT, 6494576]
[paragraph, [212.0, 444.0, 162.0, 18.0], rL3pc-bTqT, 6494576]
[paragraph, [212.0, 462.0, 162.0, 18.0], rL3pc-bTqT, 6494576]
[paragraph, [214.0, 481.0, 162.0, 18.0], K7csRlZPOt, 6494576]
[paragraph, [214.0, 499.0, 162.0, 18.0], K7csRlZPOt, 6494576]
[paragraph, [214.0, 517.0, 162.0, 18.0], K7csRlZPOt, 6494576]
[paragraph, [214.0, 535.0, 162.0, 18.0], K7csRlZPOt, 6494576]
[paragraph, [214.0, 553.0, 162.0, 18.0], K7csRlZPOt, 6494576]
[paragraph, [209.0, 575.0, 176.0, 18.0], X8d1rUEVvK, 6494576]
[paragraph, [209.0, 593.0, 176.0, 18.0], X8d1rUEVvK, 6494576]
[paragraph, [209.0, 611.0, 176.0, 18.0], X8d1rUEVvK, 6494576]
[paragraph, [209.0, 629.0, 176.0, 18.0], X8d1rUEVvK, 6494576]
[paragraph, [209.0, 647.0, 176.0, 18.0], X8d1rUEVvK, 6494576]
[paragraph, [209.0, 665.0, 176.0, 18.0], X8d1rUEVvK, 6494576]
